"sample","group","color_by","shape_by","x","y"
"112472","group1","Subj09","1",1.31253004074097,-0.951760232448578
"112473","group1","Subj09","1",1.28289949893951,-0.904395759105682
"112474","group1","Subj09","1",1.30941808223724,-0.896535575389862
"112475","group1","Subj09","1",1.36034047603607,-1.00570702552795
"112476","group1","Subj09","1",1.36880314350128,-1.01054012775421
"112477","group1","Subj09","1",1.33391654491425,-0.97495710849762
"112478","group1","Subj10","1",-1.15220808982849,0.162677019834518
"112479","group1","Subj10","1",-1.11359357833862,0.122419849038124
"112480","group1","Subj10","1",-1.13363647460938,0.131713181734085
"112481","group1","Subj10","1",-1.12604081630707,0.100777991116047
"112482","group1","Subj10","1",-1.13910043239594,0.179532870650291
"112483","group1","Subj10","1",-1.17684578895569,0.145245134830475
"112484","group1","Subj11","1",1.05589115619659,0.97453373670578
"112485","group1","Subj11","1",1.02125453948975,0.912073493003845
"112486","group1","Subj11","1",1.05362141132355,1.0341010093689
"112487","group1","Subj11","1",1.04039394855499,0.942529916763306
"112488","group1","Subj11","1",1.10231781005859,0.966622889041901
"112489","group1","Subj11","1",1.0015242099762,1.00425028800964
"112490","group1","Subj12","1",-1.19316947460175,-0.138193041086197
"112491","group1","Subj12","1",-1.19292080402374,-0.136630296707153
"112492","group1","Subj12","1",-1.18617534637451,-0.165159910917282
"112493","group1","Subj12","1",-1.25968825817108,-0.172787219285965
"112494","group1","Subj12","1",-1.21151220798492,-0.162765055894852
"112495","group1","Subj12","1",-1.22161710262299,-0.12137483805418
"SPQC1","group1","SPQC","1",-0.0595493838191032,-0.011472886428237
"SPQC2","group1","SPQC","1",-0.010889183729887,0.00379982520826161
"SPQC3","group1","SPQC","1",0.00403076596558094,-0.0330993123352528
