"Feature","Weight"
"SHBG",-0.687738656997681
"ANGT",-0.603935360908508
"LV949",0.572713315486908
"ICAM4",0.538359045982361
"DCXR",0.523556113243103
"GSTM3",0.52267974615097
"CYTB",-0.506933629512787
"HSPB1",-0.443488240242004
"FETUB",-0.398274004459381
"LG3BP",-0.361835986375809
"PERE",0.352611064910889
"HV145",-0.34343609213829
"PPIL3",0.338453084230423
"APOC3",-0.328937768936157
"IGHG4",-0.328601658344269
"CERU",-0.328365206718445
"LBP",-0.323619872331619
"SAA1",-0.319396525621414
"PZP",-0.318587779998779
"FA12",-0.314458101987839
