PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.Quantity,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.Quantity,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.Quantity
A0A075B6H8,IGKV1D-42,Probable non-functional immunoglobulin kappa variable 1D-42,A0A075B6H8,KVD42_HUMAN,1,1,1,104868.9609375,63186.49609375,43087.96875
A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69,A0A075B6H9,LV469_HUMAN,2,2,2,21707.20703125,36553.0078125,1108.0504150390625
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,A0A075B6I0,LV861_HUMAN,3,4,4,29259.83203125,20120,44543.0078125
A0A075B6I4,IGLV10-54,Immunoglobulin lambda variable 10-54,A0A075B6I4,LVX54_HUMAN,2,2,0,33454.30078125,55186.73046875,NaN
A0A075B6J1,IGLV5-37,Immunoglobulin lambda variable 5-37,A0A075B6J1,LV537_HUMAN,1,1,2,8734.296875,11888.4208984375,5270.88671875
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,A0A075B6J9,LV218_HUMAN,2,2,2,32435.18359375,26251.609375,14765.0078125
A0A075B6K2,IGLV3-12,Immunoglobulin lambda variable 3-12,A0A075B6K2,LV312_HUMAN,1,1,1,14749.142578125,16948.2734375,3072.435791015625
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,A0A075B6K4,LV310_HUMAN,8,8,8,289738.3125,356231.15625,240773.09375
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,A0A075B6K5,LV39_HUMAN,2,2,2,22577.837890625,20929.095703125,16125.8896484375
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,A0A075B6P5;P01615,KV228_HUMAN;KVD28_HUMAN,7,6,7,177707.234375,132094.421875,145292.984375
A0A075B6Q5,IGHV3-64,Immunoglobulin heavy variable 3-64,A0A075B6Q5,HV364_HUMAN,2,2,2,28359.47265625,43912.6640625,13899.4951171875
A0A075B6R9;A0A0C4DH68,IGKV2D-24;IGKV2-24,Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24,A0A075B6R9;A0A0C4DH68,KVD24_HUMAN;KV224_HUMAN,5,4,4,54564.5703125,47494.1484375,51965.08984375
A0A075B6S2;A0A0A0MRZ7,IGKV2D-29;IGKV2D-26,Immunoglobulin kappa variable 2D-29;Immunoglobulin kappa variable 2D-26,A0A075B6S2;A0A0A0MRZ7,KVD29_HUMAN;KVD26_HUMAN,6,6,6,635997.75,395474.625,337953.46875
A0A075B6S5,IGKV1-27,Immunoglobulin kappa variable 1-27,A0A075B6S5,KV127_HUMAN,17,17,16,2428552.25,2005832.375,1158218
A0A075B6S6;P06310,IGKV2D-30;IGKV2-30,Immunoglobulin kappa variable 2D-30;Immunoglobulin kappa variable 2-30,A0A075B6S6;P06310,KVD30_HUMAN;KV230_HUMAN,4,4,4,101755.7265625,85977.9453125,65596.578125
A0A075B6S9;P0DSN7,IGKV1-37;IGKV1D-37,Probable non-functional immunoglobulinn kappa variable 1-37;Probable non-functional immunoglobulinn kappa variable 1D-37,A0A075B6S9;P0DSN7,KV137_HUMAN;KVD37_HUMAN,4,4,3,51129.18359375,52894.25390625,28910.24609375
A0A087WW87;P01614,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,A0A087WW87;P01614,KV240_HUMAN;KVD40_HUMAN,1,1,1,13793.0419921875,17776.109375,24619.34375
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,A0A0A0MRZ8;P04433,KVD11_HUMAN;KV311_HUMAN,3,3,3,475988.46875,437775.65625,408853.375
A0A0A0MS14,IGHV1-45,Immunoglobulin heavy variable 1-45,A0A0A0MS14,HV145_HUMAN,1,1,1,11045.998046875,16660.587890625,8084.5341796875
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,A0A0A0MS15,HV349_HUMAN,2,2,2,119608.421875,69840.28125,65356.765625
A0A0A0MT36,IGKV6D-21,Immunoglobulin kappa variable 6D-21,A0A0A0MT36,KVD21_HUMAN,3,3,3,60733.50390625,41319.9296875,29849.615234375
A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36,A0A0B4J1U3,LV136_HUMAN,1,1,1,30151.71875,31644.2265625,51049.328125
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,A0A0B4J1U7,HV601_HUMAN,5,5,5,85470.4765625,56900.421875,52914.6015625
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,A0A0B4J1V0,HV315_HUMAN,4,4,4,65791.3828125,90798.2578125,54244.1796875
A0A0B4J1V1,IGHV3-21,Immunoglobulin heavy variable 3-21,A0A0B4J1V1,HV321_HUMAN,11,10,8,564246.25,525006.0625,417020.28125
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,A0A0B4J1V2,HV226_HUMAN,2,2,2,10265.08203125,19450.22265625,16975.44921875
A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73,A0A0B4J1V6,HV373_HUMAN,2,3,3,81382.9453125,62384.85546875,26298.853515625
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,A0A0B4J1X5,HV374_HUMAN,4,4,4,64151.65625,73967.5,50851.6796875
A0A0B4J1X8,IGHV3-43,Immunoglobulin heavy variable 3-43,A0A0B4J1X8,HV343_HUMAN,3,3,3,16887.515625,24505.25,16774.998046875
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,A0A0B4J1Y8,LV949_HUMAN,4,4,4,27716.576171875,32294.3515625,15798.5224609375
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,A0A0B4J1Y9,HV372_HUMAN,4,4,4,167788.359375,184813.4375,120732.03125
A0A0B4J2D9;P0DP09,IGKV1D-13;IGKV1-13,Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,A0A0B4J2D9;P0DP09,KVD13_HUMAN;KV113_HUMAN,3,3,3,360782.0625,426964.40625,275336.40625
A0A0B4J2H0;P01742,IGHV1-69D;IGHV1-69,Immunoglobulin heavy variable 1-69D;Immunoglobulin heavy variable 1-69,A0A0B4J2H0;P01742,HV69D_HUMAN;HV169_HUMAN,3,3,3,55366.58203125,36292.87890625,16597.103515625
A0A0C4DH24,IGKV6-21,Immunoglobulin kappa variable 6-21,A0A0C4DH24,KV621_HUMAN,1,1,1,35696.1875,59087.23046875,59412.46484375
