PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.Quantity,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.Quantity,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.Quantity
A0A075B6H7,A0A075B6H7,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7,KV37_HUMAN,2,2,2,57914.546875,27775.099609375,34179.13671875
A0A075B6H8,A0A075B6H8,IGKV1D-42,Probable non-functional immunoglobulin kappa variable 1D-42,KVD42_HUMAN,1,1,1,511692.75,310751.15625,223376.109375
A0A075B6H9,A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69,LV469_HUMAN,8,8,6,109133.6953125,124816.2265625,41125.984375
A0A075B6I0,A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,LV861_HUMAN,4,5,5,160381.546875,104123.5625,237490.453125
A0A075B6I1,A0A075B6I1,IGLV4-60,Immunoglobulin lambda variable 4-60,LV460_HUMAN,0,4,4,NaN,14019.564453125,16615.888671875
A0A075B6I4,A0A075B6I4,IGLV10-54,Immunoglobulin lambda variable 10-54,LVX54_HUMAN,2,2,0,97763.84375,148438.625,NaN
A0A075B6J1,A0A075B6J1,IGLV5-37,Immunoglobulin lambda variable 5-37,LV537_HUMAN,2,2,2,6823.5361328125,30906.4296875,18767.03125
A0A075B6J9,A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,LV218_HUMAN,4,4,4,64896.76171875,55890.85546875,30753.49609375
A0A075B6K2,A0A075B6K2,IGLV3-12,Immunoglobulin lambda variable 3-12,LV312_HUMAN,2,2,2,218794.375,11928.310546875,76491.6015625
A0A075B6K4,A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,LV310_HUMAN,4,4,4,107301.0234375,108952.515625,111137.3125
