File Name,Condition,Subject ID,Description
ID73770_01_MA10140C_6010_100422,0h,C,"Li-heparin venous blood, loaded on Mitra device"
ID73771_01_MA10140C_06010_100422,6h-,C,"Li-heparin venous blood, incubated at 37 degC for 6h, loaded on Mitra device"
ID73772_01_MA10140C_06010_100422,6h+,C,"Li-heparin venous blood, incubated at 37 degC for 6h with 100 ng/ml LPS, loaded on Mitra device"
ID73775_01_MA10140C_06010_100422,24h-,C,"Li-heparin venous blood, incubated at 37 degC for 24h, loaded on Mitra device"
ID73776_01_MA10140C_06010_100422,24h+,C,"Li-heparin venous blood, incubated at 37 degC for 24h with 100 ng/ml LPS, loaded on Mitra device"
ID73777_01_MA10140C_06010_100422,48h-,C,"Li-heparin venous blood, incubated at 37 degC for 48h, loaded on Mitra device"
ID73778_01_MA10140C_06010_100422,48h+,C,"Li-heparin venous blood, incubated at 37 degC for 48h with 100 ng/ml LPS, loaded on Mitra device"
ID73779_01_MA10140C_06010_100422,0h,D,"Li-heparin venous blood, loaded on Mitra device"
ID73780_01_MA10140C_06010_100422,6h-,D,"Li-heparin venous blood, incubated at 37 degC for 6h, loaded on Mitra device"
ID73781_01_MA10140C_06010_100422,6h+,D,"Li-heparin venous blood, incubated at 37 degC for 6h with 100 ng/ml LPS, loaded on Mitra device"
ID73784_01_MA10140C_06010_100422,24h-,D,"Li-heparin venous blood, incubated at 37 degC for 24h, loaded on Mitra device"
ID73785_01_MA10140C_06010_100422,24h+,D,"Li-heparin venous blood, incubated at 37 degC for 24h with 100 ng/ml LPS, loaded on Mitra device"
ID73786_01_MA10140C_06010_100422,48h-,D,"Li-heparin venous blood, incubated at 37 degC for 48h, loaded on Mitra device"
ID73787_01_MA10140C_06010_100422,48h+,D,"Li-heparin venous blood, incubated at 37 degC for 48h with 100 ng/ml LPS, loaded on Mitra device"
ID73788_01_MA10140C_06010_100422,0h,E,"Li-heparin venous blood, loaded on Mitra device"
ID73789_01_MA10140C_06010_100422,6h-,E,"Li-heparin venous blood, incubated at 37 degC for 6h, loaded on Mitra device"
ID73790_01_MA10140C_06010_100422,6h+,E,"Li-heparin venous blood, incubated at 37 degC for 6h with 100 ng/ml LPS, loaded on Mitra device"
ID73793_01_MA10140C_06010_100422,24h-,E,"Li-heparin venous blood, incubated at 37 degC for 24h, loaded on Mitra device"
ID73794_01_MA10140C_06010_100422,24h+,E,"Li-heparin venous blood, incubated at 37 degC for 24h with 100 ng/ml LPS, loaded on Mitra device"
ID73795_01_MA10140C_06010_100422,48h-,E,"Li-heparin venous blood, incubated at 37 degC for 48h, loaded on Mitra device"
ID73796_01_MA10140C_06010_100422,48h+,E,"Li-heparin venous blood, incubated at 37 degC for 48h with 100 ng/ml LPS, loaded on Mitra device"
ID73797_01_MA10140C_06010_100422,0h,F,"Li-heparin venous blood, loaded on Mitra device"
ID73798_01_MA10140C_06010_100422,6h-,F,"Li-heparin venous blood, incubated at 37 degC for 6h, loaded on Mitra device"
ID73799_01_MA10140C_06010_100422,6h+,F,"Li-heparin venous blood, incubated at 37 degC for 6h with 100 ng/ml LPS, loaded on Mitra device"
ID73802_01_MA10140C_06010_100422,24h-,F,"Li-heparin venous blood, incubated at 37 degC for 24h, loaded on Mitra device"
ID73803_01_MA10140C_06010_100422,24h+,F,"Li-heparin venous blood, incubated at 37 degC for 24h with 100 ng/ml LPS, loaded on Mitra device"
ID73804_01_MA10140C_06010_100422,48h-,F,"Li-heparin venous blood, incubated at 37 degC for 48h, loaded on Mitra device"
ID73805_01_MA10140C_06010_100422,48h+,F,"Li-heparin venous blood, incubated at 37 degC for 48h with 100 ng/ml LPS, loaded on Mitra device"
ID73806_01_MA10140C_6010_100422,SPQC,SPQC,"Study pool QC sample, pooled from digests"
ID73806_02_MA10140C_6010_100422,SPQC,SPQC,"Study pool QC sample, pooled from digests"
ID73806_03_MA10140C_06010_100422,SPQC,SPQC,"Study pool QC sample, pooled from digests"
ID73681_02_MA10140C_6010_092922,SPQC,SPQC,"Study pool QC sample, pooled pre-degstion, rep1"
ID73681_03_MA10140C_6010_092922,SPQC,SPQC,"Study pool QC sample, pooled pre-degstion, rep1"
ID73681_04_MA10140C_6010_092922,SPQC,SPQC,"Study pool QC sample, pooled pre-degstion, rep1"
ID73682_01_MA10104C_6010_092922,0h,C,"Li-heparin venous blood, plasma recovered by centrifugation"
ID73683_01_MA10104C_6010_092922,6h-,C,"Li-heparin venous blood, incubated at 37 degC for 6h, plasma recovered by centrifugation"
ID73684_01_MA10104C_6010_092922,6h+,C,"Li-heparin venous blood, incubated at 37 degC for 6h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73685_01_MA10104C_6010_092922,24h-,C,"Li-heparin venous blood, incubated at 37 degC for 24h, plasma recovered by centrifugation"
ID73686_01_MA10104C_6010_092922,24h+,C,"Li-heparin venous blood, incubated at 37 degC for 24h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73687_01_MA10104C_6010_092922,48h-,C,"Li-heparin venous blood, incubated at 37 degC for 48h, plasma recovered by centrifugation"
ID73688_01_MA10104C_6010_092922,48h+,C,"Li-heparin venous blood, incubated at 37 degC for 48h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73689_01_MA10104C_6010_092922,SPQC,SPQC,"Study pool QC sample, pooled pre-degstion, rep2"
ID73690_01_MA10104C_6010_092922,0h,D,"Li-heparin venous blood, plasma recovered by centrifugation"
ID73691_01_MA10104C_6010_092922,6h-,D,"Li-heparin venous blood, incubated at 37 degC for 6h, plasma recovered by centrifugation"
ID73692_01_MA10104C_6010_092922,6h+,D,"Li-heparin venous blood, incubated at 37 degC for 6h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73693_01_MA10104C_6010_092922,24h-,D,"Li-heparin venous blood, incubated at 37 degC for 24h, plasma recovered by centrifugation"
ID73694_01_MA10104C_6010_092922,24h+,D,"Li-heparin venous blood, incubated at 37 degC for 24h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73695_01_MA10104C_6010_092922,48h-,D,"Li-heparin venous blood, incubated at 37 degC for 48h, plasma recovered by centrifugation"
ID73696_01_MA10104C_6010_092922,48h+,D,"Li-heparin venous blood, incubated at 37 degC for 48h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73697_01_MA10104C_6010_092922,SPQC,SPQC,"Study pool QC sample, pooled pre-degstion, rep3"
ID73698_01_MA10104C_6010_092922,6h-,E,"Li-heparin venous blood, incubated at 37 degC for 6h, plasma recovered by centrifugation"
ID73699_01_MA10104C_6010_092922,6h+,E,"Li-heparin venous blood, incubated at 37 degC for 6h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73700_01_MA10104C_6010_092922,24h-,E,"Li-heparin venous blood, incubated at 37 degC for 24h, plasma recovered by centrifugation"
ID73701_01_MA10104C_6010_092922,24h+,E,"Li-heparin venous blood, incubated at 37 degC for 24h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73702_01_MA10104C_6010_092922,48h-,E,"Li-heparin venous blood, incubated at 37 degC for 48h, plasma recovered by centrifugation"
ID73703_01_MA10104C_6010_092922,48h+,E,"Li-heparin venous blood, incubated at 37 degC for 48h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73704_01_MA10104C_6010_092922,0h,E,"Li-heparin venous blood, plasma recovered by centrifugation"
ID73705_01_MA10104C_6010_092922,6h-,F,"Li-heparin venous blood, incubated at 37 degC for 6h, plasma recovered by centrifugation"
ID73706_01_MA10104C_6010_092922,6h+,F,"Li-heparin venous blood, incubated at 37 degC for 6h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73707_01_MA10104C_6010_092922,24h-,F,"Li-heparin venous blood, incubated at 37 degC for 24h, plasma recovered by centrifugation"
ID73708_01_MA10104C_6010_092922,24h+,F,"Li-heparin venous blood, incubated at 37 degC for 24h with 100 ng/ml LPS, plasma recovered by centrifugation"
ID73709_01_MA10104C_6010_092922,48h-,F,"Li-heparin venous blood, incubated at 37 degC for 48h, plasma recovered by centrifugation"
ID73710_01_MA10104C_6010_092922,48h+,F,"Li-heparin venous blood, incubated at 37 degC for 48h with 100 ng/ml LPS, plasma recovered by centrifugation"
