,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_3,SPQC_4,SPQC_5
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
A0A075B6H7,164541.25,155777.4375,161678.7344,154958.875,168540.1563,166578.0156,178122.7188,131002.0234,145323.8125,146362.4688,129682.8281,134741.2344,142000.75,139317.6094,153227.8281,152064.4531,165476.9375,160478.1875,160389.0938,183064.3906,115686.2422,108773.9531,103773.4922,113347.9688,107294.7734,115314.8672,111982.7734,145400.3438,145482.1875,146872.2031
A0A075B6H8,519822.9375,475521.1875,480260.4063,447355.875,468576.5938,418882.125,400866,314118.5313,283688.1563,287168.0313,277877.75,265091.1563,247035.625,246945.6875,259135.9531,242632.8125,238906.5,235975.2031,204157.2344,174127.125,230459.3438,189075.3594,190987.2031,176057.9688,188649.0781,173496.4844,162855.3594,282866.625,283830.4688,272465.5
A0A075B6H9,34993.53125,33964.78125,36688.07422,33828.77734,32047.3125,34026.61328,28328.5918,43239.51953,41986.63281,40204.8125,39902.19922,39349.625,41472.75781,39664.19141,25919.63477,24425.80859,22558.60156,24868.54297,22444.86133,22931.29492,14079.1748,15279.7002,15477.49414,14517.49023,16057.25391,12581.93066,13796.92773,26636.55664,27553.68164,27050.48828
A0A075B6I0,122500.8594,111512.0391,115039.8203,113293.1016,120087.7578,121155.1406,126654.0469,88579.66406,85447.08594,86443.96094,85006.03906,84202.50781,90995.10156,89977.32813,102329.0391,102597.0703,102169.7188,102993.5703,112282.9375,119833.2031,197261.6875,197756.0781,197916.8125,200370.0781,190988.9531,208642.7969,208356.3906,132856.2031,134802.0938,137651.7031
A0A075B6I1,NA,NA,NA,NA,NA,NA,NA,12763.13574,14916.41406,15677.23145,15818.14063,16204.39355,16949.30469,14044.34766,9646.882813,9333.625977,10684.98633,8662.386719,10029.70703,9010.178711,12201.5459,9454.236328,10935.71484,9915.082031,9781.761719,11813.14746,11425.02344,10186.92285,11185.55371,11878.46289
A0A075B6I4,61948.63281,59299.39844,67228.6875,59828.08594,56598.6875,67179.16406,75832.38281,101381.0625,87732.97656,97945.3125,97326.74219,98111.86719,106851.3281,115964.125,14421.81055,16429.7793,15030.85742,14900.85156,18683.28906,23012.66016,NA,NA,NA,NA,NA,NA,NA,52900.69141,51375.53516,52445.56641
A0A075B6I9,24063.36523,26570.2832,21712.61914,23588.08008,23434.3457,16644.18945,32622.94336,32515.58203,18537.79492,26173.31445,36282.24609,20476.79102,36888.04297,25830.34375,12406.96094,33591.92578,39101.66406,29677.56641,27614.10352,45943.59375,18344.2832,20900.25586,21253.6875,NA,19259.39258,27376.92578,16755.99023,21307.83008,28325.20703,27624.57422
A0A075B6J1,11037.35156,10559.27539,12582.5,10970.69531,11625.51172,12129.04102,7984.785156,19900.34961,20479.71484,20310.33984,22021.57617,19177.03906,19680.5957,20954.1543,12476.56055,13054.19141,11855.86816,12822.75781,20095.125,21879.14258,23679.01172,24097.6543,20988.66211,24230.19141,22681.54492,22749.41992,23799.28906,15766.93262,15463.27148,15343.73633
A0A075B6J9,107448.1484,112845.8359,109143.1797,108357.3359,108734.9219,102652.4609,104780.5938,94818.51563,85728.25,77818.58594,94523.03125,81139.83594,70872.17188,86805.76563,42196.25781,51296.00391,49863.42188,50352.89063,45777.14844,49095.83984,60191.03906,49162.52734,61187.29688,52840.45703,48715.96094,54775.09375,43962.90625,65975.28906,67942.53125,69660.94531
A0A075B6K2,100138.7031,115386.9688,104578.2813,106554.3438,103133.4453,119257.7813,114222.0859,52577.63281,37528.62891,57306.87109,51793.97656,17785.82813,89328.04688,79468.89844,48114.53906,61411.21094,57596.88281,91187.36719,77068.3125,87820.625,58182.87891,49142.52734,45399.93359,48479.41016,46507.65234,54192.18359,50604.75391,82694,66970.30469,63932.31641
A0A075B6K4,82501.10938,84251.44531,85176.82813,77882.38281,81446.19531,84989.90625,89100.95313,79687.64063,79103.27344,85627.85156,84192.46094,84815.78125,86950.32031,86317.21875,34017.69141,32542.48242,32914.00781,33596.60156,31961.20117,34966.53516,89633.61719,91417.14844,88443.28906,90778.44531,89632.5,91559.90625,91649.25781,73735.14844,78004.24219,80660.32813
A0A075B6K5,784489.375,762257.4375,810558.875,764914.1875,783937.5,752230.25,805584.9375,694181.375,655539.75,653668.0625,711672.5,709935.125,742136.3125,694538.5625,946220.0625,946136.8125,896282.8125,866510,901997.4375,942120.1875,471649.6563,482622.6875,481126.2813,515327.7813,493464.3125,480890.2813,495000.0313,687087.125,769379.4375,764998.875
A0A075B6K6,8588.197266,7995.188477,8096.328125,6742.308594,4114.463379,7974.972168,8596.016602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978.2554321,2050.779297,1916.038086
A0A075B6P5;P01615,767542.3125,756958.125,770849.125,760856.625,776483.3125,789852,819849.0625,588240.5,560507.5,581150.0625,564551,575914.9375,646297.5,644947.5,594512.4375,607142,618251.1875,636440.625,647289.1875,725330.5625,643771.4375,637177.375,611183,623266.375,611242.8125,673273.375,663836.3125,660709.4375,660152.9375,651150.9375
