,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_0h,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_1,SPQC_2,SPQC_3
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
A0A075B6H8,58955.57422,44922.98047,39532.61719,54092.73438,43526.46094,32759.30664,55067.46875,30418.43945,26813.56836,16052.94336,27754.50781,28278.00391,24710.66211,27256.64844,33200.5625,32424.02539,35236.80859,33146.69531,32516.37305,32083.86914,35880.63672,15492.07031,17936.64258,18322.45508,16918.22266,15542.0166,17794.38477,20046.63477,31534.36523,29742.70508,24440.40234
A0A075B6I0,26743.41797,20439.77734,23494.625,27941.95898,30640.85742,28623.90234,32803.36719,16033.50684,13573.94336,15848.88574,17358.20508,17027.13281,16336.90723,16842.79883,21708.4043,22457.68359,20969.19922,20762.7168,23921.12305,26508.54102,24069.93555,46079.51172,50758.23438,52756.96484,53909.50391,52362.71484,47325.81641,63208.08203,29285.50195,30073.89453,30289.52539
A0A075B6I4,47977.97656,57496.43359,43126.85938,49432.03516,53731.33594,50023.49219,54963.87109,81413.35156,85152.625,76476.65625,78092.86719,75363.82813,86553.78906,84757.98438,6983.518066,6245.562988,7448.814941,7081.117676,7729.226074,8491.780273,6251.566406,NA,NA,NA,NA,NA,NA,NA,32742.03906,35088.91406,31741.05859
A0A075B6J1,NA,3930.08252,1354.932373,NA,NA,NA,NA,4340.995605,4942.418457,2790.760254,3611.490723,2670.031738,3336.517578,3553.249512,NA,NA,NA,NA,NA,NA,NA,NA,NA,1644.142456,NA,1263.642212,1062.743408,NA,453.4683533,1335.267944,NA
A0A075B6J9,43784.13672,45604.90234,40976.20703,47632.56641,45316.26953,39755.94922,49964.5625,19538.08008,19072.71484,15503.45605,21943.58789,20181.27734,20876.02539,19034.80859,53050.82813,50991.8125,30027.18359,47579.39844,36462.41406,55315.86719,42186.52344,14980.68848,14904.75,15739.33301,19139.96484,17134.35547,18699.3125,18265.41406,34796.63281,25859.26953,28816.48828
A0A075B6K2,8847.930664,8845.652344,7525.534668,7416.240234,6291.301758,6087.699219,8082.292969,10604.10352,9219.958984,10190.57227,9335.095703,9361.515625,9663.883789,8847.710938,5946.768555,6446.397949,6958.964844,6373.76123,6924.106445,6531.522949,7344.88623,1964.359497,1808.889648,1614.786743,1113.554932,3776.106445,1704.998535,NA,6758.962891,7644.291504,5805.479492
A0A075B6K4,418714.8125,440726.3125,376307.5,389393.4375,434172.2813,389814.5938,443073.5313,481946.3125,480407.3438,491767.7188,491605.75,478558.75,464042.75,507798.5938,230228.0156,236200.6719,240072.125,250266.8281,267768.1875,269744.5,275650.5625,257381.6875,269597.7188,282775.125,299649.375,269649.75,265394.9063,278321.5625,331313.0313,339379.75,343430.0313
A0A075B6K5,11468.06055,26401.98828,17258.87695,19247.51563,14897.15918,16616.79492,16444.27734,12857.69238,18404.73438,15112.40527,14038.84961,10987.38086,19055.55273,13106.32813,13817.56836,20652.80078,12695.60547,22028.78125,10991.39063,23214.10742,26753.75195,7790.628906,10699.36133,13177.28809,12173.15234,8896.832031,5277.51416,6988.294434,8846.960938,12867.37012,15373.58105
