File,Glycan_Composition,Moiety_Mass_(Da),Glycan_Type,Glycan_Mass_(Da),num_Protein,num_Site,Percent_Relative_Abundance_in_Sample
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(4)NeuAc(2),0,Complex/Hybrid,2204.7723,79,168,43.7796
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(4)NeuAc(1),0,Complex/Hybrid,1913.6769,65,116,8.3748
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(3),0,Complex/Hybrid,2860.9999,45,84,9.9467
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(4)NeuAc(2)Fuc(1),0,Complex/Hybrid,2350.8302,46,72,3.2265
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(3)Fuc(1),0,Complex/Hybrid,3007.0578,35,64,4.5437
SPQC_01_MA10140C_6010_080723_EVO,Hex(4)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1548.5448,32,46,0.2623
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(2),0,Complex/Hybrid,2569.9045,25,44,2.2409
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2059.7348,30,42,3.5694
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(4)NeuAc(1)Fuc(2),0,Complex/Hybrid,2205.7927,32,38,1.0439
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(2)Fuc(1),0,Complex/Hybrid,2715.9624,16,28,0.532
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(3)Fuc(2),0,Complex/Hybrid,3153.1157,14,19,0.166
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(4)Fuc(2),0,Complex/Hybrid,1914.6973,16,17,0.0587
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(4)Fuc(1),0,Complex/Hybrid,1768.6394,13,16,3.0535
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(4)NeuAc(1)Fuc(3),0,Complex/Hybrid,2351.8506,15,16,0.275
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(2)Fuc(2),0,Complex/Hybrid,2862.0203,12,16,0.0427
SPQC_01_MA10140C_6010_080723_EVO,Hex(7)HexNAc(6)NeuAc(3),0,Complex/Hybrid,3226.1321,10,15,0.4638
SPQC_01_MA10140C_6010_080723_EVO,Hex(9)HexNAc(2),0,Oligo-Mannose,1864.6341,13,14,1.9304
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(5)Fuc(1),0,Complex/Hybrid,1971.7188,11,14,0.3094
SPQC_01_MA10140C_6010_080723_EVO,Hex(7)HexNAc(6)NeuAc(4),0,Complex/Hybrid,3517.2275,8,14,0.6416
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(1),0,Complex/Hybrid,2278.8091,10,13,0.6824
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1872.6504,10,11,0.3999
SPQC_01_MA10140C_6010_080723_EVO,Hex(7)HexNAc(6)NeuAc(2),0,Complex/Hybrid,2935.0367,6,11,0.281
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(1)Fuc(2),0,Complex/Hybrid,2570.9249,8,11,0.0421
SPQC_01_MA10140C_6010_080723_EVO,Hex(7)HexNAc(6)NeuAc(4)Fuc(1),0,Complex/Hybrid,3663.2854,8,11,0.21
SPQC_01_MA10140C_6010_080723_EVO,Hex(8)HexNAc(2),0,Oligo-Mannose,1702.5813,9,10,0.3591
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2424.867,8,10,0.0941
SPQC_01_MA10140C_6010_080723_EVO,Hex(7)HexNAc(6)NeuAc(2)Fuc(1),0,Complex/Hybrid,3081.0946,6,10,0.1348
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(4),0,Complex/Hybrid,1622.5815,9,9,0.2636
SPQC_01_MA10140C_6010_080723_EVO,Hex(4)HexNAc(4)NeuAc(1),0,Complex/Hybrid,1751.6241,8,9,0.2453
SPQC_01_MA10140C_6010_080723_EVO,Hex(5)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2262.8142,7,9,0.6302
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(4)NeuAc(1),0,Complex/Hybrid,2075.7298,6,7,0.058
SPQC_01_MA10140C_6010_080723_EVO,Hex(4)HexNAc(3)NeuAc(1)Fuc(1),0,Complex/Hybrid,1694.6027,7,7,0.0875
SPQC_01_MA10140C_6010_080723_EVO,Hex(4)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,1897.682,7,7,1.2994
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2221.7877,7,7,0.0317
SPQC_01_MA10140C_6010_080723_EVO,Hex(7)HexNAc(6)NeuAc(1)Fuc(1),0,Complex/Hybrid,2789.9992,6,7,0.0211
SPQC_01_MA10140C_6010_080723_EVO,Hex(6)HexNAc(5)NeuAc(2)Fuc(3),0,Complex/Hybrid,3008.0782,5,7,0.0213
