File,Glycan_Composition,Moiety_Mass_(Da),Glycan_Type,Glycan_Mass_(Da),num_Protein,num_Site,Percent_Relative_Abundance_in_Sample
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(2),0,Complex/Hybrid,2204.7723,65,139,35.5656
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(2),0,Complex/Hybrid,2204.7723,62,130,34.7383
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(2),0,Complex/Hybrid,2204.7723,59,129,33.2065
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1),0,Complex/Hybrid,1913.6769,48,83,8.9566
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1),0,Complex/Hybrid,1913.6769,50,96,8.6402
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1),0,Complex/Hybrid,1913.6769,46,86,8.2383
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(3),0,Complex/Hybrid,2860.9999,31,64,8.2174
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(3),0,Complex/Hybrid,2860.9999,28,58,7.8481
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(3),0,Complex/Hybrid,2860.9999,27,61,7.5242
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(4)Fuc(1),0,Complex/Hybrid,1606.5866,4,4,5.4955
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2059.7348,21,27,5.3558
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2059.7348,22,27,5.0795
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2059.7348,21,23,5.0499
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4)Fuc(1),0,Complex/Hybrid,1768.6394,8,9,4.9723
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(4)Fuc(1),0,Complex/Hybrid,1606.5866,4,5,4.923
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(4)Fuc(1),0,Complex/Hybrid,1606.5866,5,5,4.6675
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1)Fuc(2),0,Complex/Hybrid,2205.7927,28,39,4.4594
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4)Fuc(1),0,Complex/Hybrid,1768.6394,8,9,4.2592
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4)Fuc(1),0,Complex/Hybrid,1768.6394,7,8,3.8196
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1)Fuc(2),0,Complex/Hybrid,2205.7927,26,34,3.8183
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(8)HexNAc(6)NeuAc(4)Fuc(3),0,Complex/Hybrid,4117.454,2,2,2.5284
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(3)HexNAc(4)Fuc(1),0,Complex/Hybrid,1444.5338,3,3,2.1457
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(2)Fuc(1),0,Complex/Hybrid,2350.8302,37,49,2.0666
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(3)HexNAc(4)Fuc(1),0,Complex/Hybrid,1444.5338,4,4,1.9576
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(2)Fuc(1),0,Complex/Hybrid,2350.8302,29,41,1.8926
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(1)Fuc(2),0,Complex/Hybrid,2205.7927,25,34,1.8689
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4)NeuAc(2)Fuc(1),0,Complex/Hybrid,2350.8302,31,43,1.7982
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(3)HexNAc(4)Fuc(1),0,Complex/Hybrid,1444.5338,5,5,1.7945
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2),0,Complex/Hybrid,2569.9045,21,36,1.7514
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2),0,Complex/Hybrid,2569.9045,20,34,1.6888
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2),0,Complex/Hybrid,2569.9045,21,35,1.6771
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(9)HexNAc(2),0,Oligo-Mannose,1864.6341,4,5,1.37
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(3)Fuc(1),0,Complex/Hybrid,3007.0578,19,36,1.3613
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(9)HexNAc(2),0,Oligo-Mannose,1864.6341,4,5,1.3362
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(3)Fuc(1),0,Complex/Hybrid,3007.0578,16,28,1.2025
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(3)Fuc(1),0,Complex/Hybrid,3007.0578,19,33,1.1971
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(6)HexNAc(2),0,Oligo-Mannose,1378.4756,7,7,1.1946
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(4)Fuc(2),0,Complex/Hybrid,1914.6973,18,18,1.1933
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(2),0,Oligo-Mannose,1378.4756,3,3,1.1906
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(9)HexNAc(2),0,Oligo-Mannose,1864.6341,5,6,1.0962
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(4)Fuc(2),0,Complex/Hybrid,1914.6973,13,16,1.0662
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,1897.682,4,4,0.9808
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2262.8142,5,6,0.9567
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(5)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2262.8142,5,6,0.9132
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,1897.682,4,4,0.9
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(4),0,Complex/Hybrid,3517.2275,7,14,0.896
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(4),0,Complex/Hybrid,3517.2275,7,14,0.8894
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(4)HexNAc(5)Fuc(1),0,Complex/Hybrid,1809.666,4,4,0.8855
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(3),0,Complex/Hybrid,3226.1321,6,14,0.8757
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,1897.682,4,4,0.8718
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(2),0,Oligo-Mannose,1378.4756,5,5,0.8564
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(4)HexNAc(5)Fuc(1),0,Complex/Hybrid,1809.666,4,4,0.8532
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(7)HexNAc(6)NeuAc(4),0,Complex/Hybrid,3517.2275,8,15,0.8274
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(2)Fuc(2),0,Complex/Hybrid,2862.0203,15,17,0.8252
IDGlycoSPQC_04_MA10140C_6010_011423,Hex(5)HexNAc(4),0,Complex/Hybrid,1622.5815,9,11,0.7853
IDGlycoSPQC_05_MA10140C_6010_011423,Hex(6)HexNAc(5)NeuAc(1)Fuc(2),0,Complex/Hybrid,2570.9249,11,15,0.7809
IDGlycoSPQC_06_MA10140C_6010_011423,Hex(4)HexNAc(5)Fuc(1),0,Complex/Hybrid,1809.666,3,3,0.7744
