Protein_Name	avg_site_specific_glycans_Ti_IMAC	sd_site_specific_glycans_Ti_IMAC	avg_site_specific_glycans_PolyA_rep1	sd_site_specific_glycans_PolyA_rep1	avg_site_specific_glycans_PolyA_rep2	sd_site_specific_glycans_PolyA_rep2
Ceruloplasmin	24.3333333333333	5.5075705472861	56	1.73205080756888	58.6666666666667	3.78593889720018
Prothrombin	10	5.56776436283002	20.3333333333333	1.52752523165195	19.6666666666667	2.08166599946613
Haptoglobin	56.6666666666667	11.2398102000582	71.6666666666667	4.50924975282289	52	7
Haptoglobin-related protein	31.6666666666667	7.50555349946513	35	4.58257569495584	20	6.08276253029822
Coagulation factor XII	3.66666666666667	2.08166599946613	11	1	9.66666666666667	2.08166599946613
Complement factor B	10	1.73205080756888	11	0	2.33333333333333	0.577350269189626
Cationic trypsin	22.3333333333333	7.23417813807024	21.6666666666667	1.15470053837925	13.3333333333333	2.51661147842358
Antithrombin-III	14.6666666666667	1.15470053837925	9.66666666666667	1.15470053837925	8.33333333333333	2.08166599946613
Alpha-1-antitrypsin	20	4.35889894354067	23.3333333333333	1.52752523165195	6.66666666666667	3.05505046330389
Alpha-1-antichymotrypsin	19.6666666666667	3.21455025366432	33.3333333333333	3.05505046330389	39.6666666666667	3.21455025366432
Angiotensinogen	2.33333333333333	1.15470053837925	13	2.64575131106459	2.33333333333333	0.577350269189626
Alpha-2-macroglobulin	18.3333333333333	0.577350269189626	25.6666666666667	3.51188458428425	3.33333333333333	0.577350269189626
Kininogen-1	26.3333333333333	5.13160143944688	33	2	46	3.46410161513775
Immunoglobulin J chain	9.66666666666667	0.577350269189626	15	1	13	1
Immunoglobulin heavy constant gamma 1	34.6666666666667	4.16333199893227	27	1.73205080756888	23.3333333333333	1.15470053837925
Immunoglobulin heavy constant gamma 2	36	6.2449979983984	28.6666666666667	0.577350269189626	14.3333333333333	1.52752523165195
Immunoglobulin heavy constant gamma 4	16	2.64575131106459	14	1	5.33333333333333	1.15470053837925
Immunoglobulin heavy constant mu	43.6666666666667	3.21455025366432	47	3	51.6666666666667	1.15470053837925
Immunoglobulin heavy constant alpha 2	16	4.58257569495584	30.3333333333333	0.577350269189626	31.6666666666667	3.51188458428425
Fibrinogen beta chain	16.6666666666667	0.577350269189626	19	3	27	4
Fibrinogen gamma chain	9.33333333333333	3.05505046330389	15	2	15	3
Complement C1q subcomponent subunit A	3.33333333333333	0.577350269189626	6.66666666666667	0.577350269189626	4.33333333333333	1.15470053837925
Beta-2-glycoprotein 1	18.3333333333333	5.77350269189626	29.3333333333333	2.3094010767585	26	2
