"Scan/Ion","ID71666_Total","ID71667_Total","ID71668_Total","ID71669_Total","ID71670_Total","ID71671_Total","ID71666_%Total","ID71667_%Total","ID71668_%Total","ID71669_%Total","ID71670_%Total","ID71671_%Total"
"MS/MS Scans","24267","24177","23875","24135","13942","11950","100","100","100","100","100","100"
"MS/MS Scans with OxoIons","22636","22837","21058","21807","6416","5907","93.27893847611983","94.45754229226125","88.20104712041883","90.35425730267247","46.01922249318606","49.43096234309624"
"Likely Glyco","20628","20996","15644","16616","1229","1306","85.00432686364199","86.84286718782313","65.52460732984294","68.84607416614875","8.81509109166547","10.928870292887028"
"OxoCount_1","273","241","610","526","1207","1338","1.1249845469155644","0.9968151548992844","2.554973821989529","2.17940749948208","8.657294505809784","11.196652719665272"
"OxoCount_2","192","164","455","426","854","761","0.7911979231054519","0.6783306448277288","1.905759162303665","1.765071472964574","6.125376560034428","6.368200836820084"
"OxoCount_3","155","169","453","360","654","542","0.6387274900070055","0.6990114571700377","1.8973821989528799","1.4916096954630205","4.690862143164539","4.535564853556486"
"OxoCount_4","186","144","435","448","641","484","0.7664729880084065","0.5956073954584936","1.8219895287958114","1.8562253987984254","4.597618706067996","4.050209205020921"
"OxoCount_5+","21830","22119","19105","20047","3060","2782","89.9575555280834","91.4877776399057","80.02094240837695","83.06194323596436","21.94807057810931","23.280334728033473"
"84.0444, HexNAc - C2H8O4","0","0","0","0","0","0","0","0","0","0","0","0"
"126.055, HexNAc - C2H6O3","21793","22049","18426","19222","2397","2231","89.80508509498496","91.19824626711338","77.17696335078534","79.64367101719495","17.192655286185627","18.669456066945607"
"138.055, HexNAc - CH6O3","22591","22758","20685","21371","6029","5499","93.093501462892","94.13078545725277","86.63874345549738","88.54775222705614","43.24343709654282","46.01673640167364"
"144.0655, HexNAc - C2H4O2","20413","20734","12711","14148","891","993","84.11835002266453","85.75919262108616","53.23979057591623","58.62026103169671","6.3907617271553585","8.309623430962343"
"168.0655, HexNAc - 2H2O","22045","22328","19516","19924","3661","3132","90.84353236906087","92.35223559581421","81.74240837696335","82.55230992334783","26.25878640080333","26.2092050209205"
"186.0761, HexNAc - H2O","21538","21828","18112","19162","2158","2096","88.75427535336054","90.28415436158332","75.86178010471204","79.39506940128445","15.478410558026109","17.539748953974897"
"204.0867, HexNAc","22321","22562","20220","21016","4847","4134","91.98087938352495","93.32009761343426","84.69109947643979","87.076859332919","34.765456892841776","34.59414225941423"
"85.0284, Hex - C2H6O3","0","0","0","0","0","0","0","0","0","0","0","0"
"97.0284, Hex - CH6O3","0","0","0","0","0","0","0","0","0","0","0","0"
"127.0390, Hex - 2H2O","13773","14433","914","828","416","416","56.75608851526764","59.697232907308596","3.828272251308901","3.430702299564947","2.98378998708937","3.4811715481171546"
"145.0495, Hex - H2O","8392","8507","533","381","476","531","34.58194255573412","35.186334119204204","2.232460732984293","1.5786202610316966","3.414144312150337","4.443514644351464"
"163.0601, Hex","7844","7668","510","298","249","274","32.32373181687065","31.716093808164786","2.136125654450262","1.2347213590221668","1.7859704490030124","2.292887029288703"
"Sialic: 274.0921, NeuAc-H2O","21491","21845","19403","20518","2847","2761","88.56059669510034","90.35446912354718","81.26910994764398","85.01346592086182","20.420312724142878","23.10460251046025"
"Sialic: 292.1027, NeuAc","20427","20893","14461","16019","1221","1212","84.17604153789097","86.41684245357158","60.5696335078534","66.37248808783924","8.757710514990675","10.142259414225942"
"Sialic: 316.103, NeuAc[Ac] - H2O","27","30","0","2","0","0","0.11126220793670417","0.12408487405385284","0","0.008286720530350114","0","0"
"Sialic: 334.113, NeuAc[Ac]","2","5","0","0","1","1","0.008241645032348456","0.020680812342308806","0","0","0.007172572084349448","0.008368200836820085"
"Sialic: 290.0870, NeuGc - H2O","233","265","8","6","2","2","0.9601516462685953","1.0960830541423667","0.03350785340314136","0.024860161591050343","0.014345144168698896","0.01673640167364017"
"Sialic: 308.0976, NeuGc","65","78","0","0","3","1","0.26785346355132483","0.32262067254001736","0","0","0.021517716253048342","0.008368200836820085"
"Sialic: 332.098, NeuGc[Ac] - H2O","1","2","0","0","0","5","0.004120822516174228","0.008272324936923522","0","0","0","0.04184100418410042"
"Sialic: 350.1081, NeuGc[Ac]","1","0","0","0","1","0","0.004120822516174228","0","0","0","0.007172572084349448","0"
"M6P: 243.0264, Man-P","121","124","12","14","3","3","0.49861952445708163","0.5128841460892584","0.05026178010471205","0.058007043712450794","0.021517716253048342","0.025104602510460254"
"M6P: 405.0798, Man2-P","40","36","3","2","0","0","0.16483290064696912","0.1489018488646234","0.012565445026178013","0.008286720530350114","0","0"
"Oligo: 325.1129, Hex2","661","655","77","59","282","317","2.723863683191165","2.7091864168424533","0.3225130890052356","0.24445825564532836","2.0226653277865445","2.6527196652719667"
"Oligo: 366.1395, HexNAc-Hex","21851","22153","19225","19828","3451","3043","90.04409280092305","91.62840716383339","80.52356020942409","82.15454733789103","24.752546263089943","25.464435146443513"
"Oligo: 407.1660, HexNAc2","471","489","19","15","7","2","1.9409074051180617","2.022583447077801","0.07958115183246073","0.06215040397762585","0.05020800459044614","0.01673640167364017"
"Oligo: 454.1555, Hex-NeuAc","7434","8158","732","724","36","28","30.634194585239214","33.74281341771105","3.0659685863874344","2.9997928319867415","0.2582125950365801","0.23430962343096237"
"Oligo: 470.1503, Hex-NeuGc","7","7","1","0","1","0","0.0288457576132196","0.028953137279232325","0.00418848167539267","0","0.007172572084349448","0"
"Oligo: 495.1821, HexNAc-NeuAc","865","923","94","160","16","9","3.5645114764907073","3.817677958390205","0.393717277486911","0.6629376424280091","0.11476115334959117","0.07531380753138076"
"Oligo: 511.1769, HexNAc-NeuGc","2","4","0","0","1","0","0.008241645032348456","0.016544649873847045","0","0","0.007172572084349448","0"
"Oligo: 528.1923, HexNAc-Hex2","17130","17676","1784","1570","202","169","70.58968970206453","73.11080779253008","7.472251308900524","6.505075616324839","1.4488595610385884","1.4142259414225942"
"Oligo: 537.1927, HexNAc-NeuAc[Ac]","4","8","0","1","2","0","0.016483290064696912","0.03308929974769409","0","0.004143360265175057","0.014345144168698896","0"
"Oligo: 553.1875, HexNAc-NeuGc[Ac]","6","5","0","0","0","0","0.02472493509704537","0.020680812342308806","0","0","0","0"
"Oligo: 569.2188, HexNAc2-Hex","2666","2904","633","739","11","3","10.986112828120492","12.011415808412956","2.6513089005235604","3.061943235964367","0.07889829292784392","0.025104602510460254"
"Oligo: 657.2349, HexNAc-Hex-NeuAc","19346","19946","9214","9275","853","674","79.72143239790663","82.4998965959383","38.59267015706806","38.42966645949865","6.118203987950079","5.640167364016737"
"Oligo: 673.2297, HexNAc-Hex-NeuGc","63","64","1","1","1","1","0.25961181851897636","0.2647143979815527","0.00418848167539267","0.004143360265175057","0.007172572084349448","0.008368200836820085"
