"Scan/Ion","ID112496_Pool01_Total","ID112496_Pool02_Total","ID112496_Pool03_Total","IDGlycoSPQC_03_Total","IDGlycoSPQC_04_Total","IDGlycoSPQC_05_Total","SPQC_01_Total","SPQC_02_Total","SPQC_03_Total","ID112496_Pool01_%Total","ID112496_Pool02_%Total","ID112496_Pool03_%Total","IDGlycoSPQC_03_%Total","IDGlycoSPQC_04_%Total","IDGlycoSPQC_05_%Total","SPQC_01_%Total","SPQC_02_%Total","SPQC_03_%Total"
"MS/MS Scans","14390","14359","14367","18227","18865","16575","14456","14378","14385","100","100","100","100","100","100","100","100","100"
"MS/MS Scans with OxoIons","13943","13889","13941","16664","17270","15304","14135","14153","14174","96.89367616400278","96.72679155930079","97.03487158070578","91.42480934876832","91.54518950437318","92.33182503770739","97.77946873270614","98.43510919460286","98.53319429961765"
"Likely Glyco","12847","12842","12939","12091","12653","12032","13138","13129","13160","89.27727588603197","89.43519743714742","90.06055543954896","66.33565589510067","67.07129605088788","72.59125188536953","90.88267847260653","91.31311726248435","91.48418491484185"
"OxoCount_1","126","108","128","352","352","300","32","40","37","0.8756080611535788","0.7521415140330107","0.890930604858356","1.931200965600483","1.8658892128279883","1.809954751131222","0.22136137244050913","0.2782028098483795","0.25721237400069513"
"OxoCount_2","79","71","71","469","499","259","34","32","20","0.5489923558026407","0.49446340274392364","0.49418806988236935","2.5731058320074616","2.6451099920487673","1.5625942684766212","0.23519645821804097","0.22256224787870357","0.13903371567605144"
"OxoCount_3","68","60","68","511","479","263","27","30","25","0.472550382209868","0.4178563966850059","0.4733068838310016","2.803533219948428","2.5390935595017226","1.5867269984917043","0.18677365799667958","0.2086521073862846","0.1737921445950643"
"OxoCount_4","67","45","52","573","646","440","38","34","32","0.46560111188325226","0.3133922975137544","0.36194055822370713","3.1436879354803313","3.4243307712695468","2.654600301659125","0.2628666297731046","0.23647238837112253","0.22245394508168229"
"OxoCount_5+","13603","13605","13622","14759","15294","14042","14004","14017","14060","94.53092425295344","94.74893794832509","94.81450546391035","80.97328139573162","81.07076596872515","84.71794871794872","96.8732706142778","97.48921964111837","97.74070212026416"
"84.0444, HexNAc - C2H8O4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126.055, HexNAc - C2H6O3","13663","13649","13694","14163","14611","13664","14027","14035","14089","94.94788047255038","95.05536597256076","95.31565392914317","77.7034070335217","77.45030479724358","82.43740573152338","97.03237410071942","97.61441090555014","97.94230100799443"
"138.055, HexNAc - CH6O3","13821","13784","13830","16560","17176","15249","14108","14124","14146","96.04586518415566","95.99554286510202","96.26226769680518","90.85422724529543","91.04691227140206","92","97.59269507470947","98.23341215746278","98.33854709767118"
"144.0655, HexNAc - C2H4O2","13067","13031","13114","11467","12132","11651","13733","13727","13749","90.80611535788742","90.7514450867052","91.27862462587875","62.912163274263456","64.30956798303737","70.29260935143287","94.99861649142225","95.47224926971762","95.57872784150156"
