"Scan/Ion","p106555_Total","p106556_Total","p106557_Total","p106558_Total","t106555_Total","t106556_Total","t106557_Total","t106558_Total","p106555_%Total","p106556_%Total","p106557_%Total","p106558_%Total","t106555_%Total","t106556_%Total","t106557_%Total","t106558_%Total"
"MS/MS Scans","14318","14394","14397","14375","14469","14457","14442","14509","100","100","100","100","100","100","100","100"
"MS/MS Scans with OxoIons","14112","14226","14153","14195","13846","14115","13952","14099","98.56125157144852","98.8328470195915","98.30520247273736","98.74782608695652","95.69424286405417","97.63436397592862","96.60711812768314","97.17416775794334"
"Likely Glyco","12983","13377","13082","13198","5364","8064","6433","7267","90.67607207710574","92.9345560650271","90.86615267069529","91.81217391304348","37.07236160066349","55.77920730442001","44.54369200941698","50.08615342201392"
"OxoCount_1","51","29","32","64","478","310","341","317","0.35619499930157844","0.20147283590384882","0.22226852816559006","0.4452173913043478","3.3036146243693416","2.144289963339559","2.3611688131837694","2.184850782273072"
"OxoCount_2","49","9","33","26","449","266","366","284","0.3422265679564185","0.06252605252188412","0.22921441967076475","0.1808695652173913","3.1031861220540464","1.8399391298332988","2.534275031159119","1.9574057481563167"
"OxoCount_3","51","16","27","45","358","276","330","276","0.35619499930157844","0.11115742670557177","0.18753907063971662","0.3130434782608696","2.4742553044439837","1.9091097738119942","2.2850020772746156","1.9022675580674064"
"OxoCount_4","42","15","25","33","406","254","314","279","0.2933370582483587","0.10421008753647354","0.17364728762936724","0.22956521739130434","2.8059990324141264","1.7569343570588642","2.174214097770392","1.9229443793507477"
"OxoCount_5+","13919","14157","14036","14027","12155","13009","12601","12943","97.2132979466406","98.35348061692372","97.49253316663193","97.57913043478261","84.00718778077268","89.9840907518849","87.25245810829524","89.2066992900958"
"84.0444, HexNAc - C2H8O4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126.055, HexNAc - C2H6O3","13927","14154","14054","14060","12976","13502","13321","13505","97.26917167202124","98.33263859941643","97.61755921372509","97.80869565217391","89.68138779459535","93.39420350003459","92.23791718598532","93.08015714384176"
"138.055, HexNAc - CH6O3","14082","14207","14132","14156","13296","13742","13511","13728","98.35172510127113","98.70084757537863","98.15933875112871","98.47652173913043","91.89301264772963","95.05429895552328","93.55352444259798","94.61713419257013"
