RT	Window.Low	Window.High	204.087
0.00123787	380.423	385.425	0
0.00141173	385.425	390.427	0
0.0015796	390.427	395.43	0
0.0017436	395.43	400.432	0
0.00191813	400.432	405.434	0
0.00210707	405.434	410.436	0
0.00229947	410.436	415.439	0
0.00246347	415.439	420.441	175.379
0.00263747	420.441	425.443	0
0.00281147	425.443	430.446	0
0.00298547	430.446	435.448	0
0.00315947	435.448	440.45	85.8372
0.00333347	440.45	445.452	0
0.00354733	445.452	450.455	58.6446
0.00372133	450.455	455.457	0
0.00389547	455.457	460.459	0
0.00406933	460.459	465.461	0
0.00424333	465.461	470.464	0
0.00445773	470.464	475.466	0
0.00463173	475.466	480.468	0
0.00480627	480.468	485.471	0
0.00502013	485.471	490.473	0
0.00519587	490.473	495.475	0
0.00537	495.475	500.477	0
0.005544	500.477	505.48	63.7233
0.00571787	505.48	510.482	0
0.0058932	510.482	515.484	0
0.00608227	515.484	520.486	0
0.00627373	520.486	525.489	0
0.00646707	525.489	530.491	118.592
0.00665973	530.491	535.493	0
0.00684867	535.493	540.496	0
0.00701267	540.496	545.498	0
0.00717653	545.498	550.5	0
0.00736547	550.5	555.502	0
0.00755453	555.502	560.505	0
0.00776867	560.505	565.507	0
0.00793307	565.507	570.509	0
0.00812507	570.509	575.511	0
0.00829173	575.511	580.514	0
0.00848573	580.514	585.516	100.404
0.00864973	585.516	590.518	0
0.0088424	590.518	595.521	0
0.00903147	595.521	600.523	0
0.0091972	600.523	605.525	0
0.00936133	605.525	610.527	0
0.00952533	610.527	615.53	0
0.00969133	615.53	620.532	0
0.0098552	620.532	625.534	118.65
0.0100441	625.534	630.536	0
0.0102331	630.537	635.539	0
0.0104072	635.539	640.541	0
0.010624	640.541	645.543	125.908
0.010798	645.543	650.546	186.569
0.0109755	650.546	655.548	0
0.0111897	655.548	660.55	247.602
0.0113536	660.55	665.552	0
0.01152	665.552	670.555	0
0.0117119	670.555	675.557	0
0.0119065	675.557	680.559	0
0.0120955	680.559	685.561	0
0.0122853	685.561	690.564	0
0.0124743	690.564	695.566	0
0.0126668	695.566	700.568	0
0.0128556	700.568	705.571	0
0.0130445	705.571	710.573	0
0.0132085	710.573	715.575	0
0.0134019	715.575	720.577	163.244
0.0135663	720.577	725.58	0
0.0137301	725.58	730.582	0
0.0138961	730.582	735.584	0
0.0140852	735.584	740.587	90.3735
0.0142741	740.587	745.589	0
0.014438	745.589	750.591	0
0.0146269	750.591	755.593	0
0.014816	755.593	760.596	288.495
0.01503	760.596	765.598	0
0.0152189	765.598	770.6	0
0.0153853	770.6	775.602	0
0.0155768	775.602	780.605	0
0.0157659	780.605	785.607	0
0.0159547	785.607	790.609	496.248
0.0161201	790.609	795.612	0
0.0163092	795.612	800.614	0
0.0164848	800.614	805.616	0
0.0166736	805.616	810.618	0
0.0168656	810.618	815.621	0
0.0170331	815.621	820.623	184.855
0.0172255	820.623	825.625	58.8965
0.0174144	825.625	830.627	87.803
0.0176285	830.627	835.63	0
0.0178175	835.63	840.632	0
0.0179813	840.632	845.634	101.412
0.0189909	845.634	850.637	101.11
0.0191803	850.637	855.639	110.418
0.0193468	855.639	860.641	0
0.0195132	860.641	865.643	160.317
0.0196799	865.643	870.646	0
0.0198463	870.646	875.648	78.327
0.0200111	875.648	880.65	0
0.0201759	880.65	885.652	71.9006
0.0203648	885.652	890.655	0
0.0205389	890.655	895.657	193.516
0.020728	895.657	900.659	358.273
0.0209192	900.659	905.662	366.282
0.0210883	905.662	910.664	228.228
0.0212521	910.664	915.666	104.058
0.0214412	915.666	920.668	0
0.0216301	920.668	925.671	329.409
0.0218191	925.671	930.673	0
0.0219865	930.673	935.675	143.693
0.022176	935.675	940.677	0
0.0223648	940.677	945.68	216.483
0.0225288	945.68	950.682	146.12
0.0227177	950.682	955.684	0
0.0228819	955.684	960.687	0
0.0230463	960.687	965.689	0
0.0232103	965.689	970.691	164.215
0.0233743	970.691	975.693	100.379
0.0235632	975.693	980.696	553.355
0.0237521	980.696	985.698	501.112
0.0239161	985.698	990.7	422.526
0.0240801	990.7	995.702	176.06
0.0242441	995.702	1000.7	469.044
0.0244164	1000.7	1005.71	698.534
0.0245989	1005.71	1010.71	0
0.0247715	1010.71	1015.71	821.426
0.0249604	1015.71	1020.71	54.5911
0.0251331	1020.71	1025.72	328.152
0.0253057	1025.72	1030.72	226.44
0.0254888	1030.72	1035.72	404.968
0.0256616	1035.72	1040.72	85.6861
0.0258507	1040.72	1045.73	381.86
0.0260237	1045.73	1050.73	58.6274
