RT	Window.Low	Window.High	204.087
0.00123813	380.423	385.425	0
0.00141213	385.425	390.427	0
0.00157827	390.427	395.43	0
0.00174227	395.43	400.432	104.486
0.0019164	400.432	405.434	0
0.00211027	405.434	410.436	0
0.00229907	410.436	415.439	0
0.00246307	415.439	420.441	0
0.00263707	420.441	425.443	0
0.00281107	425.443	430.446	0
0.00298547	430.446	435.448	0
0.00315947	435.448	440.45	0
0.00333387	440.45	445.452	0
0.00354773	445.452	450.455	0
0.0037264	450.455	455.457	0
0.00390053	455.457	460.459	0
0.00407453	460.459	465.461	0
0.00424853	465.461	470.464	0
0.0044624	470.464	475.466	0
0.00463947	475.466	480.468	0
0.00481333	480.468	485.471	0
0.00502733	485.471	490.473	0
0.00520133	490.473	495.475	0
0.00537533	495.475	500.477	0
0.00554933	500.477	505.48	0
0.0057232	505.48	510.482	0
0.00589733	510.482	515.484	0
0.00608627	515.484	520.486	0
0.00627773	520.486	525.489	0
0.00647147	525.489	530.491	0
0.00666427	530.491	535.493	0
0.0068532	535.493	540.496	0
0.0070172	540.496	545.498	0
0.0071812	545.498	550.5	0
0.00737	550.5	555.502	0
0.0075592	555.502	560.505	0
0.00774813	560.505	565.507	0
0.007912	565.507	570.509	0
0.00810093	570.509	575.511	0
0.00826493	575.511	580.514	0
0.00847907	580.514	585.516	0
0.00864307	585.516	590.518	0
0.0088344	590.518	595.521	132.788
0.009026	595.521	600.523	231.962
0.00918987	600.523	605.525	0
0.00935387	605.525	610.527	0
0.0095216	610.527	615.53	0
0.00969427	615.53	620.532	0
0.00986253	620.532	625.534	0
0.0100513	625.534	630.536	0
0.0102403	630.537	635.539	0
0.0104044	635.539	640.541	0
0.0105933	640.541	645.543	0
0.0107573	645.543	650.546	0
0.0109212	650.546	655.548	0
0.0111112	655.548	660.55	0
0.0112752	660.55	665.552	0
0.0114392	665.552	670.555	0
0.0116532	670.555	675.557	0
0.0118423	675.557	680.559	0
0.0120348	680.559	685.561	103.604
0.0122285	685.561	690.564	0
0.0124213	690.564	695.566	0
0.0126113	695.566	700.568	0
0.0128003	700.568	705.571	0
0.0129892	705.571	710.573	156.71
0.0131572	710.573	715.575	0
0.0133463	715.575	720.577	162.879
0.0135092	720.577	725.58	0
0.0136732	725.58	730.582	0
0.0138371	730.582	735.584	0
0.0140261	735.584	740.587	0
0.014216	740.587	745.589	0
0.0143821	745.589	750.591	0
0.0145709	750.591	755.593	0
0.01476	755.593	760.596	0
0.014974	760.596	765.598	0
0.0151629	765.598	770.6	0
0.01533	770.6	775.602	0
0.0155216	775.602	780.605	0
0.0157129	780.605	785.607	0
0.0159056	785.607	790.609	0
0.0160696	790.609	795.612	134.804
0.0162587	795.612	800.614	0
0.0164225	800.614	805.616	0
0.0166115	805.616	810.618	0
0.0168004	810.618	815.621	0
0.0169645	815.621	820.623	0
0.0171533	820.623	825.625	0
0.0173423	825.625	830.627	0
0.0175319	830.627	835.63	0
0.017722	835.63	840.632	0
0.017886	840.632	845.634	0
0.0190372	845.634	850.637	0
0.019226	850.637	855.639	0
0.0193925	855.639	860.641	0
0.0195595	860.641	865.643	0
0.019726	865.643	870.646	0
0.0198924	870.646	875.648	79.3101
0.0200613	875.648	880.65	0
0.02023	880.65	885.652	0
0.0204205	885.652	890.655	0
0.0205883	890.655	895.657	0
0.0207788	895.657	900.659	0
0.0209677	900.659	905.662	0
0.0211316	905.662	910.664	222.33
0.0212955	910.664	915.666	0
0.0214845	915.666	920.668	0
0.0216769	920.668	925.671	70.7413
0.0218659	925.671	930.673	0
0.0220399	930.673	935.675	0
0.0222316	935.675	940.677	0
0.0224205	940.677	945.68	0
0.0225947	945.68	950.682	0
0.0227835	950.682	955.684	105.016
0.02295	955.684	960.687	0
0.0231167	960.687	965.689	142.734
0.0232849	965.689	970.691	156.73
0.023454	970.691	975.693	0
0.0236429	975.693	980.696	0
0.0238357	980.696	985.698	0
0.0239996	985.698	990.7	212.875
0.0241644	990.7	995.702	0
0.0243283	995.702	1000.7	56.4268
0.0245005	1000.7	1005.71	257.688
0.0246731	1005.71	1010.71	382.087
0.0248456	1010.71	1015.71	228.051
0.0250345	1015.71	1020.71	294.785
0.0252189	1020.71	1025.72	100.051
0.0253916	1025.72	1030.72	0
0.0255645	1030.72	1035.72	0
0.0257375	1035.72	1040.72	0
0.0259263	1040.72	1045.73	96.296
0.0260993	1045.73	1050.73	0
0.0262725	1050.73	1055.73	97.8584
0.026462	1055.73	1060.73	0
0.0266355	1060.73	1065.73	0
0.0268088	1065.73	1070.74	249.85
0.0269824	1070.74	1075.74	0
0.0271559	1075.74	1080.74	115.399
0.0273616	380.423	385.425	0
0.0275305	385.425	390.427	0
0.0276973	390.427	395.43	0
0.0278613	395.43	400.432	0
0.0280253	400.432	405.434	0
0.029266	405.434	410.436	0
0.0294548	410.436	415.439	0
0.0296189	415.439	420.441	70.7616
0.0297828	420.441	425.443	0
0.0299468	425.443	430.446	0
0.0301208	430.446	435.448	0
0.0302849	435.448	440.45	0
0.0304517	440.45	445.452	0
0.0306444	445.452	450.455	0
0.0308128	450.455	455.457	0
0.0309816	455.457	460.459	0
0.0311456	460.459	465.461	0
0.0313096	465.461	470.464	0
0.0315023	470.464	475.466	0
0.0316664	475.466	480.468	0
0.0318332	480.468	485.471	0
0.0320221	485.471	490.473	0
0.0321961	490.473	495.475	0
0.0323601	495.475	500.477	0
0.0325272	500.477	505.48	0
0.0326955	505.48	510.482	0
0.0328623	510.482	515.484	0
0.0330543	515.484	520.486	0
0.0332445	520.486	525.489	0
0.0334372	525.489	530.491	104.865
0.0336261	530.491	535.493	0
0.0338152	535.493	540.496	0
0.0339792	540.496	545.498	0
0.0341431	545.498	550.5	0
0.034332	550.5	555.502	114.592
0.0345211	555.502	560.505	0
0.03471	560.505	565.507	0
0.0348739	565.507	570.509	0
0.0350628	570.509	575.511	0
0.0352268	575.511	580.514	0
0.0354409	580.514	585.516	0
0.0356053	585.516	590.518	0
0.0357967	590.518	595.521	0
0.0359885	595.521	600.523	0
0.0361525	600.523	605.525	0
0.0363164	605.525	610.527	0
0.0364841	610.527	615.53	0
0.036652	615.53	620.532	0
0.0368216	620.532	625.534	111.402
0.0370105	625.534	630.536	0
0.0371993	630.537	635.539	0
0.0373639	635.539	640.541	0
0.0375528	640.541	645.543	0
0.0377203	645.543	650.546	0
0.0378843	650.546	655.548	0
0.0380733	655.548	660.55	0
0.0382372	660.55	665.552	0
0.0394128	665.552	670.555	97.8806
0.039602	670.555	675.557	0
0.0397939	675.557	680.559	0
0.0399852	680.559	685.561	0
0.0401741	685.561	690.564	0
0.0403669	690.564	695.566	136.503
0.0405595	695.566	700.568	225.58
0.0407484	700.568	705.571	0
0.0409372	705.571	710.573	0
0.0411012	710.573	715.575	0
0.0412923	715.575	720.577	0
0.0414563	720.577	725.58	0
0.0416201	725.58	730.582	0
0.0417841	730.582	735.584	0
0.0419783	735.584	740.587	0
0.0421672	740.587	745.589	0
0.0423311	745.589	750.591	0
0.0425452	750.591	755.593	0
0.0427341	755.593	760.596	0
0.0429256	760.596	765.598	0
0.0431192	765.598	770.6	109.401
0.0432869	770.6	775.602	0
0.0434799	775.602	780.605	0
0.043672	780.605	785.607	0
0.0438609	785.607	790.609	0
0.0440249	790.609	795.612	0
0.044214	795.612	800.614	0
0.044378	800.614	805.616	0
0.0445669	805.616	810.618	0
0.0447559	810.618	815.621	0
0.0449233	815.621	820.623	210.41
0.0451124	820.623	825.625	99.547
0.0453027	825.625	830.627	0
0.0454916	830.627	835.63	0
0.0456807	835.63	840.632	0
0.0458547	840.632	845.634	0
0.0460187	845.634	850.637	183.98
0.0462104	850.637	855.639	0
0.0463769	855.639	860.641	0
0.0465461	860.641	865.643	0
0.0467145	865.643	870.646	0
0.0468784	870.646	875.648	0
0.0470425	875.648	880.65	0
0.0472103	880.65	885.652	0
0.0474029	885.652	890.655	183.091
0.0475669	890.655	895.657	0
0.0477572	895.657	900.659	0
0.0479469	900.659	905.662	0
0.0481109	905.662	910.664	0
0.0482748	910.664	915.666	191.912
0.0484639	915.666	920.668	0
0.0486543	920.668	925.671	0
0.0497639	925.671	930.673	153.96
0.0499277	930.673	935.675	0
0.0501168	935.675	940.677	75.807
0.0503056	940.677	945.68	0
0.0504696	945.68	950.682	106.811
0.0506836	950.682	955.684	0
0.0508476	955.684	960.687	0
0.0510141	960.687	965.689	0
0.0511821	965.689	970.691	0
0.0513505	970.691	975.693	0
0.0515421	975.693	980.696	0
0.0517311	980.696	985.698	0
0.0519004	985.698	990.7	0
0.0520684	990.7	995.702	146.922
0.0522323	995.702	1000.7	0
0.0524045	1000.7	1005.71	0
0.0525769	1005.71	1010.71	0
0.0527605	1010.71	1015.71	0
0.0529493	1015.71	1020.71	0
0.0531247	1020.71	1025.72	187.829
0.0532973	1025.72	1030.72	180.848
0.0534708	1030.72	1035.72	0
0.0536573	1035.72	1040.72	116.004
0.0538496	1040.72	1045.73	381.101
0.0540251	1045.73	1050.73	124.799
0.0541993	1050.73	1055.73	122.153
0.0543883	1055.73	1060.73	0
0.0545639	1060.73	1065.73	277.547
0.0547408	1065.73	1070.74	188.03
0.0549143	1070.74	1075.74	153.353
0.0550892	1075.74	1080.74	333.092
0.0552949	380.423	385.425	65.7918
0.0554588	385.425	390.427	0
0.0556228	390.427	395.43	0
0.0557887	395.43	400.432	0
0.0559639	400.432	405.434	0
0.0561537	405.434	410.436	0
0.0563679	410.436	415.439	0
0.0565319	415.439	420.441	0
0.0566985	420.441	425.443	0
0.0568651	425.443	430.446	0
0.0570316	430.446	435.448	0
0.0571984	435.448	440.45	0
0.0573688	440.45	445.452	0
0.0575624	445.452	450.455	0
0.0577301	450.455	455.457	0
0.0578984	455.457	460.459	0
0.0580651	460.459	465.461	0
0.0582312	465.461	470.464	0
0.0584223	470.464	475.466	0
0.0585864	475.466	480.468	0
0.0587503	480.468	485.471	0
0.0598469	485.471	490.473	0
0.0600108	490.473	495.475	0
0.0601749	495.475	500.477	0
0.0603388	500.477	505.48	0
0.0605052	505.48	510.482	0
0.0606719	510.482	515.484	0
0.0608633	515.484	520.486	0
0.0610571	520.486	525.489	0
0.0612497	525.489	530.491	0
0.0614387	530.491	535.493	0
0.0616276	535.493	540.496	0
0.0617916	540.496	545.498	0
0.0619555	545.498	550.5	0
0.0621696	550.5	555.502	0
0.0623587	555.502	560.505	0
0.0625503	560.505	565.507	0
0.0627191	565.507	570.509	0
0.0629079	570.509	575.511	0
0.0630757	575.511	580.514	0
0.0632647	580.514	585.516	0
0.0634287	585.516	590.518	0
0.0636176	590.518	595.521	0
0.0638075	595.521	600.523	0
0.0639715	600.523	605.525	0
0.0641375	605.525	610.527	0
0.0643013	610.527	615.53	0
0.0644655	615.53	620.532	0
0.0646295	620.532	625.534	0
0.0648184	625.534	630.536	0
0.0650073	630.537	635.539	0
0.0651727	635.539	640.541	0
0.0653616	640.541	645.543	0
0.0655256	645.543	650.546	121.493
0.0656895	650.546	655.548	0
0.0658785	655.548	660.55	0
0.0660445	660.55	665.552	0
0.0662084	665.552	670.555	0
0.0663973	670.555	675.557	0
0.0665864	675.557	680.559	0
0.0667753	680.559	685.561	0
0.0669643	685.561	690.564	0
0.067154	690.564	695.566	102.244
0.0673431	695.566	700.568	0
0.0675352	700.568	705.571	0
0.0677241	705.571	710.573	0
0.0678881	710.573	715.575	0
0.0680772	715.575	720.577	0
0.0682412	720.577	725.58	0
0.0684051	725.58	730.582	0
0.0685691	730.582	735.584	0
0.0687581	735.584	740.587	0
0.0689469	740.587	745.589	0
0.0691109	745.589	750.591	0
0.0692999	750.591	755.593	0
0.0694888	755.593	760.596	0
0.069798	760.596	765.598	0
0.0708139	765.598	770.6	0
0.0709879	770.6	775.602	0
0.0711769	775.602	780.605	0
0.0713685	780.605	785.607	0
0.0715621	785.607	790.609	0
0.0717348	790.609	795.612	0
0.0719276	795.612	800.614	0
0.0720916	800.614	805.616	0
0.0722805	805.616	810.618	0
0.0724695	810.618	815.621	0
0.0726373	815.621	820.623	65.6254
0.0728263	820.623	825.625	141.836
0.0730412	825.625	830.627	0
0.0732301	830.627	835.63	0
0.0734219	835.63	840.632	95.8423
0.0735904	840.632	845.634	0
0.0737544	845.634	850.637	0
0.0739433	850.637	855.639	0
0.0741096	855.639	860.641	0
0.0742759	860.641	865.643	0
0.0744397	865.643	870.646	0
0.0746037	870.646	875.648	0
0.0747693	875.648	880.65	0
0.0749339	880.65	885.652	0
0.0751228	885.652	890.655	0
0.0752872	890.655	895.657	277.32
0.0754761	895.657	900.659	0
0.0756651	900.659	905.662	0
0.0758337	905.662	910.664	0
0.0760077	910.664	915.666	0
0.0761967	915.666	920.668	0
0.0764117	920.668	925.671	0
0.0766011	925.671	930.673	102.119
0.0767677	930.673	935.675	0
0.0769592	935.675	940.677	155.65
0.077148	940.677	945.68	0
0.0773159	945.68	950.682	0
0.0775048	950.682	955.684	112.184
0.0776688	955.684	960.687	0
0.0778327	960.687	965.689	79.8392
0.0779971	965.689	970.691	0
0.0781612	970.691	975.693	100.504
0.0783501	975.693	980.696	0
0.0785389	980.696	985.698	190.173
0.0787029	985.698	990.7	0
0.0788669	990.7	995.702	270.39
0.0790344	995.702	1000.7	0
0.0792067	1000.7	1005.71	240.551
0.0795163	1005.71	1010.71	649.669
0.0796989	1010.71	1015.71	0
0.0798879	1015.71	1020.71	362.94
0.0800604	1020.71	1025.72	0
0.0810908	1025.72	1030.72	357.638
0.0812637	1030.72	1035.72	0
0.0814365	1035.72	1040.72	176.469
0.0816255	1040.72	1045.73	0
0.0817989	1045.73	1050.73	194.709
0.0819721	1050.73	1055.73	0
0.0821615	1055.73	1060.73	87.7274
0.0823348	1060.73	1065.73	130.999
0.0825103	1065.73	1070.74	111.24
0.0826848	1070.74	1075.74	0
0.0828583	1075.74	1080.74	388.158
0.083064	380.423	385.425	0
0.0832281	385.425	390.427	0
0.0833929	390.427	395.43	0
0.0835571	395.43	400.432	0
0.0837345	400.432	405.434	0
0.0839235	405.434	410.436	0
0.0841173	410.436	415.439	0
0.0842861	415.439	420.441	0
0.084452	420.441	425.443	0
0.0846159	425.443	430.446	0
0.0847836	430.446	435.448	0
0.0849516	435.448	440.45	0
0.0851177	440.45	445.452	0
0.0853073	445.452	450.455	0
