PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	PG.ProteinNames	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.Quantity	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.Quantity	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.Quantity	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.Quantity	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.Quantity	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.Quantity	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.Quantity	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.Quantity	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.Quantity	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.Quantity	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.Quantity	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.Quantity	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.Quantity	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.Quantity	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.Quantity	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.Quantity	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.Quantity	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.Quantity	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.Quantity	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.Quantity	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.Quantity	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.Quantity	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.Quantity	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.Quantity	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.Quantity	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.Quantity	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.Quantity	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.Quantity	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.Quantity	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.Quantity	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.Quantity
A0A075B6H7	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	A0A075B6H7	KV37_HUMAN	3	3	3	3	3	3	3	3	4	3	3	4	4	4	3	3	3	3	3	3	4	2	2	2	3	3	2	2	4	4	3	33490.85546875	33018.796875	32862.77734375	36829.22265625	34422.92578125	36197.671875	38713.9765625	55051.90234375	58277.625	50225.69921875	41662.30078125	60707.62890625	50831	61247.00390625	80638.7734375	74243.3515625	74691.546875	73766.0078125	61214.04296875	76597.1484375	67181.375	62046.3125	72863.046875	58742.51171875	48624.6640625	58590.796875	58820.171875	59784.7734375	58752.578125	60926.97265625	55070.140625
A0A075B6H8	IGKV1D-42	Probable non-functional immunoglobulin kappa variable 1D-42	A0A075B6H8	KVD42_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42241.9140625	40951.703125	42072.2578125	37749.47265625	44896.39453125	40987.8984375	41327.58984375	72868.75	77411.90625	89177.6328125	90916.8828125	85429.453125	89401.71875	87522.0859375	118891.0625	115394.5546875	111344.734375	120991.1328125	118105.1328125	123365.1171875	123209.3671875	99900.5859375	85332.25	111074.40625	101836.2109375	109607.3203125	108351.5625	107582.78125	88513.40625	89493.0703125	85749.2734375
A0A075B6H9	IGLV4-69	Immunoglobulin lambda variable 4-69	A0A075B6H9	LV469_HUMAN	4	3	4	3	3	4	3	4	4	4	4	3	3	4	3	2	2	3	2	3	3	4	3	3	4	4	3	4	3	3	3	59730.81640625	63691.8828125	51954.86328125	65487.98828125	59214.68359375	61551.39453125	60423.65234375	76320.140625	82147.53125	98090.4765625	72168.4921875	72303.9375	72961.640625	72688.6015625	50484.84375	50099.6640625	51535.09375	55526.2265625	52825.65234375	55146.046875	51251.515625	62435.6015625	64201.14453125	66233.3359375	55652.14453125	56319.1328125	64424.69140625	69557.9609375	60885.8984375	60824.86328125	52425.9453125
A0A075B6I0	IGLV8-61	Immunoglobulin lambda variable 8-61	A0A075B6I0	LV861_HUMAN	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	7	6	7	6	6	6	6	6	6	6	6	6	6	7	67481.125	64423	67080.6484375	70339.2890625	65995.296875	66101.6328125	62700.296875	197839.203125	192293.0625	185542.34375	171497.1875	200516.359375	176261.65625	180088.953125	168199.015625	172026.40625	168580.109375	168155.34375	164667.09375	173278.40625	164161.46875	101020.4375	118000.0625	94954.359375	101642.96875	107252.03125	100908.15625	111036.5	136223.6875	136505.0625	140786.625
A0A075B6I1	IGLV4-60	Immunoglobulin lambda variable 4-60	A0A075B6I1	LV460_HUMAN	3	2	2	3	2	3	3	1	1	1	0	0	1	2	3	3	3	3	3	3	2	3	3	2	3	3	3	3	3	2	3	5355.99072265625	5861.88330078125	4320.67333984375	1618.3883056640625	5923.923828125	6010.6142578125	6786.3701171875	1221.504150390625	2131.716552734375	2178.3916015625	NaN	NaN	1394.4700927734375	230.52333068847656	13100.623046875	14717.669921875	12023.34765625	13807.45703125	14236.93359375	14721.8251953125	14833.2919921875	14464.26171875	12800.7939453125	8512.333984375	11536.5693359375	12919.4677734375	13308.216796875	12165.1884765625	7667.93408203125	10050.7314453125	7579.9658203125
A0A075B6I4	IGLV10-54	Immunoglobulin lambda variable 10-54	A0A075B6I4	LVX54_HUMAN	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	3	4	4	4	3	4	4	4	3	4	4	4	4	4	3	39121.8125	43666.3125	49126.5703125	42658.609375	48004.54296875	40275.69921875	44400.1328125	25081.373046875	27195.265625	24937.818359375	26842.03125	24126.314453125	25698.986328125	27253.93359375	33309.07421875	30847.3515625	36949.9140625	37563.24609375	30242.53125	28417.615234375	33986.76953125	22843.86328125	25164.33984375	26219.658203125	19666.341796875	21789.064453125	22401.384765625	18995.970703125	25841.630859375	35380.72265625	41552.890625
A0A075B6I9	IGLV7-46	Immunoglobulin lambda variable 7-46	A0A075B6I9	LV746_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28994.78515625	28366.853515625	31612.052734375	27598.265625	26372.70703125	26056.396484375	28960.609375	51998.421875	50132.8359375	51620.75	53228.46875	50801	52148.7890625	46312.89453125	61133.33203125	61856.09375	59129.9375	64123.421875	60680.52734375	56932.796875	59195.75390625	51610.41796875	56064.859375	55816.3515625	53455.11328125	52812.359375	53916.21875	52807.69921875	53191.7578125	48531.859375	47167.5859375
A0A075B6J9	IGLV2-18	Immunoglobulin lambda variable 2-18	A0A075B6J9	LV218_HUMAN	1	1	1	2	2	1	1	2	1	2	1	1	1	2	2	2	2	2	2	2	1	2	1	2	1	2	1	2	1	2	1	47028.69921875	50027.390625	48879.65625	47430.53515625	50658.578125	47578.08203125	45750.55078125	66149.4296875	64161.26171875	54096.828125	66762.4609375	69521.6171875	61174.0703125	68193.328125	102878.3984375	106925.84375	108399.609375	104860.5703125	112934.5234375	113264.34375	103321.640625	46875.73046875	94238.5	100698.5703125	83137.1640625	100162.6875	86755.640625	95894.171875	79982.8203125	72776.984375	79035.8046875
A0A075B6K4	IGLV3-10	Immunoglobulin lambda variable 3-10	A0A075B6K4	LV310_HUMAN	3	3	2	2	2	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	20985.671875	21158.951171875	19802.642578125	24414.484375	20095.591796875	26605.685546875	22062.123046875	34196.41015625	37926.19140625	30827.064453125	35334.63671875	35730.6796875	36806.9453125	35930.47265625	21362.486328125	18499.345703125	18844.60546875	18149.611328125	17679.060546875	17672.6796875	19284.744140625	55074.265625	60429.921875	63914.984375	60743.20703125	59450.43359375	56775.94921875	56517.3359375	32635.712890625	36658.4921875	32351.25
A0A075B6K5	IGLV3-9	Immunoglobulin lambda variable 3-9	A0A075B6K5	LV39_HUMAN	7	6	7	6	7	7	7	12	11	10	12	11	10	12	9	10	10	10	9	10	11	12	11	12	12	12	12	12	11	10	11	108172.9375	108379.0390625	109468.6015625	123613.9296875	111474.1640625	107793.890625	98427.046875	260677.765625	280363.875	243597.40625	231424.453125	287294.125	244603.125	247509.765625	378350.34375	354965.21875	344617.75	370802.4375	382942.5625	351774.5625	337461.625	290362.34375	269808.875	294225.96875	289796.46875	291335.65625	253207.546875	271484.40625	245905.984375	254802.765625	262954.53125
