PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	PG.ProteinNames	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.NrOfPrecursorsUsedForQuantification	[1] ID106583_01_MA10140C_6010_080323.htrms.PG.Quantity	[2] ID106559_01_MA10140C_6010_080323.htrms.PG.Quantity	[3] ID106567_01_MA10140C_6010_080323.htrms.PG.Quantity	[4] ID106555_01_MA10140C_6010_080323.htrms.PG.Quantity	[5] ID106579_01_MA10140C_6010_080323.htrms.PG.Quantity	[6] ID106563_01_MA10140C_6010_080323.htrms.PG.Quantity	[7] ID106571_01_MA10140C_6010_080323.htrms.PG.Quantity	[8] ID106584_01_MA10140C_6010_080323.htrms.PG.Quantity	[9] ID106560_01_MA10140C_6010_080323.htrms.PG.Quantity	[10] ID106568_01_MA10140C_6010_080323.htrms.PG.Quantity	[11] ID106556_01_MA10140C_6010_080323.htrms.PG.Quantity	[12] ID106580_01_MA10140C_6010_080323.htrms.PG.Quantity	[13] ID106564_01_MA10140C_6010_080323.htrms.PG.Quantity	[14] ID106572_01_MA10140C_6010_080323.htrms.PG.Quantity	[15] ID106585_01_MA10140C_6010_080323.htrms.PG.Quantity	[16] ID106561_01_MA10140C_6010_080323.htrms.PG.Quantity	[17] ID106569_01_MA10140C_6010_080323.htrms.PG.Quantity	[18] ID106557_01_MA10140C_6010_080323.htrms.PG.Quantity	[19] ID106581_01_MA10140C_6010_080323.htrms.PG.Quantity	[20] ID106565_01_MA10140C_6010_080323.htrms.PG.Quantity	[21] ID106573_01_MA10140C_6010_080323.htrms.PG.Quantity	[22] ID106586_01_MA10140C_6010_080323.htrms.PG.Quantity	[23] ID106562_01_MA10140C_6010_080323.htrms.PG.Quantity	[24] ID106570_01_MA10140C_6010_080323.htrms.PG.Quantity	[25] ID106558_01_MA10140C_6010_080323.htrms.PG.Quantity	[26] ID106582_01_MA10140C_6010_080323.htrms.PG.Quantity	[27] ID106566_01_MA10140C_6010_080323.htrms.PG.Quantity	[28] ID106574_01_MA10140C_6010_080323.htrms.PG.Quantity	[29] IDSPQC_01_MA10140C_6010_080323.htrms.PG.Quantity	[30] IDSPQC_02_MA10140C_6010_080323.htrms.PG.Quantity	[31] IDSPQC_03_MA10140C_6010_080323.htrms.PG.Quantity
A0A075B6H7	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	A0A075B6H7	KV37_HUMAN	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	2	2	2	2	2	1	1	1	2	1	1	1	2	2	2	46359.24609375	42115.93359375	38444.41015625	41992.32421875	41662.44921875	43536.33203125	50538.953125	73314.1796875	69890.3984375	58321.11328125	52655.37109375	68601.6953125	60439.8359375	65890.484375	119028.5546875	114700.84375	122663.2265625	106732.5703125	109032.3515625	121272.71875	107546.1875	94515.453125	118974.046875	95775.984375	89431.8828125	96130.28125	90576.4296875	99119.6875	82066.5703125	82258.0625	69343.7265625
A0A075B6H8	IGKV1D-42	Probable non-functional immunoglobulin kappa variable 1D-42	A0A075B6H8	KVD42_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43625.84375	41899.12109375	42981.625	38390.265625	46301.6484375	43597.65234375	42658.375	72574.3671875	77890.9765625	88301.890625	89246.6640625	86298.53125	88593.9296875	85818.3046875	120690.8359375	116462.125	111852.21875	121624.7890625	118999.03125	123925.3671875	123242.625	99757.875	84128.0625	108761.3125	100523.9765625	109337.671875	107894.4375	108184.96875	88345.1328125	89476.234375	85840.3984375
A0A075B6H9	IGLV4-69	Immunoglobulin lambda variable 4-69	A0A075B6H9	LV469_HUMAN	3	4	4	3	3	3	3	4	4	4	4	4	4	4	3	3	3	4	3	3	3	4	4	2	3	4	4	4	4	4	3	62843.48828125	66652.671875	49608.6328125	62429.37109375	61286.984375	62758.1171875	60800.71875	64157.3125	79023.6171875	100626.5625	77274.1484375	72533.5625	72472.2578125	78849.578125	48693.27734375	52146.8359375	52324.7265625	42472.66796875	56538.6640625	41233.94140625	54476.04296875	63490.75	67550.859375	66511.1484375	64971.26953125	49905.88671875	59701.00390625	65034.12109375	65199.5078125	64586.2265625	57334.13671875
A0A075B6I0	IGLV8-61	Immunoglobulin lambda variable 8-61	A0A075B6I0	LV861_HUMAN	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	67327.8515625	62958.46484375	71119.359375	73893.203125	64745.53125	66904.859375	65042.17578125	203000.46875	198949.171875	190953.46875	175774.375	204472.265625	179305.9375	183897.84375	172618.09375	169666.453125	165630	165946.859375	165951.21875	170947.234375	162512.4375	108457.03125	126983.796875	102973.1796875	102237.25	106508.828125	98973.7890625	110623.125	137550.515625	134543.921875	135644.1875
A0A075B6I1	IGLV4-60	Immunoglobulin lambda variable 4-60	A0A075B6I1	LV460_HUMAN	2	2	2	2	2	2	2	1	2	2	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4407.01806640625	6039.34765625	4291.48193359375	1105.2945556640625	5848.060546875	5830.9619140625	6765.02001953125	1136.0302734375	243.78614807128906	250.08892822265625	22.43195915222168	NaN	1267.5179443359375	1379.8460693359375	13590.7041015625	14499.6923828125	10745.8525390625	13997.2783203125	15378.5859375	15171.7958984375	15023.22265625	15669.900390625	11985.3203125	8706.576171875	13444.9716796875	14275.2890625	14573.625	12965.8583984375	8013.85107421875	9979.24609375	7846.125
A0A075B6I4	IGLV10-54	Immunoglobulin lambda variable 10-54	A0A075B6I4	LVX54_HUMAN	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	3	4	4	4	3	4	4	4	4	4	4	37051.484375	43876.75390625	45180.9375	40279.90625	45123.65234375	43405.60546875	41014.18359375	24078.310546875	25787.7109375	23215.498046875	25461.23828125	22119.0859375	25285.095703125	25640.349609375	32897.65625	28100.54296875	27340.34765625	32468.59375	28440.244140625	28525.603515625	30143.19921875	26047.779296875	21793.03515625	25134.376953125	17301.611328125	18585.876953125	18088.41015625	16874.087890625	28269.40234375	32350.41015625	36417.28125
A0A075B6I9	IGLV7-46	Immunoglobulin lambda variable 7-46	A0A075B6I9	LV746_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28999.658203125	28393.41796875	32710.271484375	28115.04296875	26410.869140625	26144.728515625	29504.4453125	50748.50390625	49877.3359375	51384.23046875	52766.53125	50744.3046875	51778.546875	46672.875	63622.2109375	60391.96875	59062.7421875	63967.73046875	61433.0234375	56402.1875	58996.109375	53354.265625	55350.4140625	56344.74609375	53511.07421875	56590.0546875	54039.85546875	53178.34375	52479.6796875	48344.86328125	46949.25
A0A075B6J9	IGLV2-18	Immunoglobulin lambda variable 2-18	A0A075B6J9	LV218_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55492.12109375	58328.2265625	58044.15234375	54439.00390625	56434.52734375	55996.3984375	53564.66015625	74053.234375	75261.8046875	76285.03125	77503.875	81080.34375	71720.5625	74661.453125	118871.4140625	115539.0078125	115857.3984375	117300.359375	119002.515625	116780.125	119180.6171875	100934.390625	110885.2109375	107296.265625	97582.28125	105167.0703125	100451.890625	105007.28125	93136.640625	87644.1015625	92110.140625
A0A075B6K4	IGLV3-10	Immunoglobulin lambda variable 3-10	A0A075B6K4	LV310_HUMAN	3	2	2	2	2	2	2	3	3	3	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	3	27394.017578125	27164.79296875	28650.853515625	31725.697265625	28899.044921875	33475.80859375	28033.369140625	41196.85546875	44444.3125	38331.921875	40344.6640625	42841.53515625	42783.5625	41763.91015625	28855.5703125	24617.423828125	27896.44921875	24282.025390625	22821.0703125	23190.080078125	23696.01171875	60633.3671875	62876.046875	68303.84375	67827.921875	65317.61328125	58596.21484375	62839.7734375	40507.64453125	42354.42578125	37168.1640625
A0A075B6K5	IGLV3-9	Immunoglobulin lambda variable 3-9	A0A075B6K5	LV39_HUMAN	7	7	5	8	9	7	7	11	10	10	11	10	9	11	9	10	9	9	9	10	10	11	10	11	11	11	11	11	11	10	10	119183.4765625	114473.9453125	115369.8984375	110446.6484375	113165.8671875	116356.3203125	106208.7265625	255681.734375	290232.78125	254459.671875	250175.890625	289827.21875	260452.84375	255797.15625	373839.5	361057.75	375605.71875	387308.5	378825.625	359234.0625	363830.46875	280573.0625	272670.59375	311877.875	289923.1875	286408.8125	249144.84375	271851.53125	257676.8125	263396.65625	260151.28125
