"Feature","Weight"
"IGHA2_N92_H(5)N(5)S(1)F(1)_2",2.43933296203613
"IGHA2_N92_H(5)N(5)S(2)F(1)_2",2.04577088356018
"IGHA2_N92_H(5)N(4)S(2)F(1)",1.83572638034821
"APOH_N162_H(6)N(5)S(3)",1.79859340190887
"KNG1_N169_H(7)N(6)S(4)F(1)_2",-1.79082846641541
"A1AG1_N93_H(7)N(6)S(4)F(2)",-1.76447999477386
"A1AG1_N103_H(6)N(5)S(3)F(2)",-1.73972928524017
"APOH_N162_H(4)N(4)S(1)",-1.64528894424438
"A1AG1_N93_H(7)N(6)S(1)F(4)",1.58264601230621
"HRG_N344/N345_H(5)N(4)S(2)_1",1.49788010120392
"AACT_N271_H(7)N(6)S(4)F(2)_2",-1.46875190734863
"IGHM_N209_H(6)N(4)S(3)F(3)",-1.4592399597168
"HEMO_N453_H(10)N(6)S(1)",-1.40998983383179
"A1AG1_N56/N72_H(6)N(6)S(4)",-1.39936149120331
"A1AG1_N33_H(6)N(5)S(3)F(1)_4",-1.39391899108887
"CLUS_N86_H(6)N(5)S(3)F(2)_2",-1.39075613021851
"CO4A_N1391_H(11)N(7)S(1)",1.38114452362061
"A1AG1_N93_H(9)N(8)S(2)",-1.37709224224091
"HRG_N344/N345_H(6)N(5)S(3)_1",1.36962461471558
"IC1_N25_H(6)N(5)S(2)F(4)_2",-1.36672008037567
