File,Protein_Accession,Protein_Name,Gene,Organism,Protein_Length,Protein_Mass_(Da),Number_Site,Number_Glycan,Number_Site_Specific_Glycan
IDGlycoSPQC_04_MA10140C_6010_011423,O95445,Apolipoprotein M,APOM,Homo sapiens,188,21239.4384,1,3,3
IDGlycoSPQC_04_MA10140C_6010_011423,P00450,Ceruloplasmin,CP,Homo sapiens,1065,122141.5986,4,18,30
IDGlycoSPQC_04_MA10140C_6010_011423,P00734,Prothrombin,F2,Homo sapiens,622,69992.1207,3,12,16
IDGlycoSPQC_04_MA10140C_6010_011423,P00736,Complement C1r subcomponent,C1R,Homo sapiens,705,80066.8106,1,1,1
IDGlycoSPQC_04_MA10140C_6010_011423,P00738,Haptoglobin,HP,Homo sapiens,406,45176.5624,2,34,47
IDGlycoSPQC_04_MA10140C_6010_011423,P00739,Haptoglobin-related protein,HPR,Homo sapiens,348,39004.6778,1,24,24
IDGlycoSPQC_04_MA10140C_6010_011423,P00748,Coagulation factor XII,F12,Homo sapiens,615,67747.8913,1,2,2
IDGlycoSPQC_04_MA10140C_6010_011423,P00751,Complement factor B,CFB,Homo sapiens,764,85478.5204,3,9,12
IDGlycoSPQC_04_MA10140C_6010_011423,P00760,Cationic trypsin,null,Bos taurus,246,25768.6012,2,23,27
IDGlycoSPQC_04_MA10140C_6010_011423,P01008,Antithrombin-III,SERPINC1,Homo sapiens,464,52568.8618,3,9,14
IDGlycoSPQC_04_MA10140C_6010_011423,P01009,Alpha-1-antitrypsin,SERPINA1,Homo sapiens,418,46707.0172,3,16,23
IDGlycoSPQC_04_MA10140C_6010_011423,P01011,Alpha-1-antichymotrypsin,SERPINA3,Homo sapiens,423,47620.5342,3,17,22
IDGlycoSPQC_04_MA10140C_6010_011423,P01019,Angiotensinogen,AGT,Homo sapiens,476,52036.9515,1,3,3
IDGlycoSPQC_04_MA10140C_6010_011423,P01023,Alpha-2-macroglobulin,A2M,Homo sapiens,1474,163187.8838,3,16,19
IDGlycoSPQC_04_MA10140C_6010_011423,P01024,Complement C3,C3,Homo sapiens,1663,187029.8664,2,10,10
IDGlycoSPQC_04_MA10140C_6010_011423,P01042,Kininogen-1,KNG1,Homo sapiens,644,71912.1475,5,15,32
IDGlycoSPQC_04_MA10140C_6010_011423,P01591,Immunoglobulin J chain,JCHAIN,Homo sapiens,159,18086.9938,1,10,10
IDGlycoSPQC_04_MA10140C_6010_011423,P01857,Immunoglobulin heavy constant gamma 1,IGHG1,Homo sapiens,399,43884.1027,1,38,38
IDGlycoSPQC_04_MA10140C_6010_011423,P01859,Immunoglobulin heavy constant gamma 2,IGHG2,Homo sapiens,395,43777.7715,1,43,43
IDGlycoSPQC_04_MA10140C_6010_011423,P01861,Immunoglobulin heavy constant gamma 4,IGHG4,Homo sapiens,396,43803.8656,1,18,18
IDGlycoSPQC_04_MA10140C_6010_011423,P01871,Immunoglobulin heavy constant mu,IGHM,Homo sapiens,474,51890.9321,2,36,45
IDGlycoSPQC_04_MA10140C_6010_011423,P01876,Immunoglobulin heavy constant alpha 1,IGHA1,Homo sapiens,398,42821.3175,1,7,7
IDGlycoSPQC_04_MA10140C_6010_011423,P01877,Immunoglobulin heavy constant alpha 2,IGHA2,Homo sapiens,391,42306.9526,3,18,21
IDGlycoSPQC_04_MA10140C_6010_011423,P02675,Fibrinogen beta chain,FGB,Homo sapiens,491,55892.2582,1,16,16
IDGlycoSPQC_04_MA10140C_6010_011423,P02679,Fibrinogen gamma chain,FGG,Homo sapiens,453,51478.8645,1,12,12
IDGlycoSPQC_04_MA10140C_6010_011423,P02730,Band 3 anion transport protein,SLC4A1,Homo sapiens,911,101727.4074,1,12,12
IDGlycoSPQC_04_MA10140C_6010_011423,P02745,Complement C1q subcomponent subunit A,C1QA,Homo sapiens,245,26000.1863,1,3,3
IDGlycoSPQC_04_MA10140C_6010_011423,P02748,Complement component C9,C9,Homo sapiens,559,63132.6961,2,2,4
IDGlycoSPQC_04_MA10140C_6010_011423,P02749,Beta-2-glycoprotein 1,APOH,Homo sapiens,345,38272.6576,2,12,15
IDGlycoSPQC_04_MA10140C_6010_011423,P02751,Fibronectin,FN1,Homo sapiens,2477,272149.9816,3,5,8
IDGlycoSPQC_04_MA10140C_6010_011423,P02760,Protein AMBP,AMBP,Homo sapiens,352,38973.9795,2,4,4
IDGlycoSPQC_04_MA10140C_6010_011423,P02763,Alpha-1-acid glycoprotein 1,ORM1,Homo sapiens,201,23524.8008,5,40,71
IDGlycoSPQC_04_MA10140C_6010_011423,P02765,Alpha-2-HS-glycoprotein,AHSG,Homo sapiens,367,39315.6856,2,19,29
IDGlycoSPQC_04_MA10140C_6010_011423,P02787,Serotransferrin,TF,Homo sapiens,698,76999.6107,3,14,25
