Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Transmembrane
A0A087X1C5,reviewed,CP2D7_HUMAN,Putative cytochrome P450 2D7 (EC 1.14.14.1),CYP2D7,Homo sapiens (Human),515,"TRANSMEM 3..23; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 302..322; /note=""Helical; Name=2""; /evidence=""ECO:0000255"""
A0A0B4J2F0,reviewed,PIOS1_HUMAN,Protein PIGBOS1 (PIGB opposite strand protein 1),PIGBOS1,Homo sapiens (Human),54,"TRANSMEM 5..25; /note=""Helical""; /evidence=""ECO:0000255"""
A0A0K2S4Q6,reviewed,CD3CH_HUMAN,Protein CD300H (CD300 antigen-like family member H),CD300H,Homo sapiens (Human),201,"TRANSMEM 169..189; /note=""Helical""; /evidence=""ECO:0000255"""
A0A1B0GTW7,reviewed,CIROP_HUMAN,Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2),CIROP LMLN2,Homo sapiens (Human),788,"TRANSMEM 736..756; /note=""Helical""; /evidence=""ECO:0000255"""
A0A5B9,reviewed,TRBC2_HUMAN,T cell receptor beta constant 2,TRBC2 TCRBC2,Homo sapiens (Human),178,"TRANSMEM 145..167; /note=""Helical""; /evidence=""ECO:0000255"""
A0AV02,reviewed,S12A8_HUMAN,Solute carrier family 12 member 8 (Cation-chloride cotransporter 9),SLC12A8 CCC9,Homo sapiens (Human),714,"TRANSMEM 37..60; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 72..93; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 99..116; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 123..142; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 154..173; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 185..205; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 233..254; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 266..289; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 309..331; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 360..377; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 383..403; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 593..616; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 622..643; /note=""Helical""; /evidence=""ECO:0000255"""
A0AVI4,reviewed,TM129_HUMAN,E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129),TMEM129,Homo sapiens (Human),362,"TRANSMEM 7..27; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 57..77; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 95..115; /note=""Helical""; /evidence=""ECO:0000255"""
A0FGR8,reviewed,ESYT2_HUMAN,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt),ESYT2 FAM62B KIAA1228,Homo sapiens (Human),921,"TRANSMEM 104..124; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 128..148; /note=""Helical""; /evidence=""ECO:0000255"""
A0FGR9,reviewed,ESYT3_HUMAN,Extended synaptotagmin-3 (E-Syt3) (Chr3Syt),ESYT3 FAM62C,Homo sapiens (Human),886,"TRANSMEM 30..50; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 51..71; /note=""Helical""; /evidence=""ECO:0000255"""
A0PJK1,reviewed,SC5AA_HUMAN,Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10),SLC5A10 SGLT5,Homo sapiens (Human),596,"TRANSMEM 16..36; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 73..93; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 100..120; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 150..170; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 174..194; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 201..221; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 265..285; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 301..321; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 356..376; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 410..430; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 444..464; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 472..492; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 514..534; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 576..596; /note=""Helical""; /evidence=""ECO:0000255"""
