PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73771_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73772_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[4] ID73775_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[5] ID73776_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[6] ID73777_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[7] ID73778_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[8] ID73779_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[9] ID73780_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[10] ID73781_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[11] ID73784_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[12] ID73785_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[13] ID73786_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[14] ID73787_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[15] ID73788_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[16] ID73789_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[17] ID73790_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[18] ID73793_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[19] ID73794_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[20] ID73795_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[21] ID73796_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[22] ID73797_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[23] ID73798_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[24] ID73799_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[25] ID73802_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[26] ID73803_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[27] ID73804_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[28] ID73805_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[29] ID73806_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[30] ID73806_02_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[31] ID73806_03_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.Quantity,[2] ID73771_01_MA10140C_06010_100422.htrms.PG.Quantity,[3] ID73772_01_MA10140C_06010_100422.htrms.PG.Quantity,[4] ID73775_01_MA10140C_06010_100422.htrms.PG.Quantity,[5] ID73776_01_MA10140C_06010_100422.htrms.PG.Quantity,[6] ID73777_01_MA10140C_06010_100422.htrms.PG.Quantity,[7] ID73778_01_MA10140C_06010_100422.htrms.PG.Quantity,[8] ID73779_01_MA10140C_06010_100422.htrms.PG.Quantity,[9] ID73780_01_MA10140C_06010_100422.htrms.PG.Quantity,[10] ID73781_01_MA10140C_06010_100422.htrms.PG.Quantity,[11] ID73784_01_MA10140C_06010_100422.htrms.PG.Quantity,[12] ID73785_01_MA10140C_06010_100422.htrms.PG.Quantity,[13] ID73786_01_MA10140C_06010_100422.htrms.PG.Quantity,[14] ID73787_01_MA10140C_06010_100422.htrms.PG.Quantity,[15] ID73788_01_MA10140C_06010_100422.htrms.PG.Quantity,[16] ID73789_01_MA10140C_06010_100422.htrms.PG.Quantity,[17] ID73790_01_MA10140C_06010_100422.htrms.PG.Quantity,[18] ID73793_01_MA10140C_06010_100422.htrms.PG.Quantity,[19] ID73794_01_MA10140C_06010_100422.htrms.PG.Quantity,[20] ID73795_01_MA10140C_06010_100422.htrms.PG.Quantity,[21] ID73796_01_MA10140C_06010_100422.htrms.PG.Quantity,[22] ID73797_01_MA10140C_06010_100422.htrms.PG.Quantity,[23] ID73798_01_MA10140C_06010_100422.htrms.PG.Quantity,[24] ID73799_01_MA10140C_06010_100422.htrms.PG.Quantity,[25] ID73802_01_MA10140C_06010_100422.htrms.PG.Quantity,[26] ID73803_01_MA10140C_06010_100422.htrms.PG.Quantity,[27] ID73804_01_MA10140C_06010_100422.htrms.PG.Quantity,[28] ID73805_01_MA10140C_06010_100422.htrms.PG.Quantity,[29] ID73806_01_MA10140C_6010_100422.htrms.PG.Quantity,[30] ID73806_02_MA10140C_6010_100422.htrms.PG.Quantity,[31] ID73806_03_MA10140C_06010_100422.htrms.PG.Quantity
A0A075B6H8,IGKV1D-42,Probable non-functional immunoglobulin kappa variable 1D-42,A0A075B6H8,KVD42_HUMAN,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,58955.57421875,44922.98046875,39532.6171875,54092.734375,43526.4609375,32759.306640625,55067.46875,30418.439453125,26813.568359375,16052.943359375,27754.5078125,28278.00390625,24710.662109375,27256.6484375,33200.5625,32424.025390625,35236.80859375,33146.6953125,32516.373046875,32083.869140625,35880.63671875,15492.0703125,17936.642578125,18322.455078125,16918.22265625,15542.0166015625,17794.384765625,20046.634765625,31534.365234375,29742.705078125,24440.40234375
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,A0A075B6I0,LV861_HUMAN,6,6,6,6,5,5,6,5,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,5,5,6,6,26743.41796875,20439.77734375,23494.625,27941.958984375,30640.857421875,28623.90234375,32803.3671875,16033.5068359375,13573.943359375,15848.8857421875,17358.205078125,17027.1328125,16336.9072265625,16842.798828125,21708.404296875,22457.68359375,20969.19921875,20762.716796875,23921.123046875,26508.541015625,24069.935546875,46079.51171875,50758.234375,52756.96484375,53909.50390625,52362.71484375,47325.81640625,63208.08203125,29285.501953125,30073.89453125,30289.525390625
A0A075B6I4,IGLV10-54,Immunoglobulin lambda variable 10-54,A0A075B6I4,LVX54_HUMAN,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,2,0,0,0,0,0,0,0,3,3,3,47977.9765625,57496.43359375,43126.859375,49432.03515625,53731.3359375,50023.4921875,54963.87109375,81413.3515625,85152.625,76476.65625,78092.8671875,75363.828125,86553.7890625,84757.984375,6983.51806640625,6245.56298828125,7448.81494140625,7081.11767578125,7729.22607421875,8491.7802734375,6251.56640625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32742.0390625,35088.9140625,31741.05859375
A0A075B6J1,IGLV5-37,Immunoglobulin lambda variable 5-37,A0A075B6J1,LV537_HUMAN,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,NaN,3930.08251953125,1354.932373046875,NaN,NaN,NaN,NaN,4340.99560546875,4942.41845703125,2790.76025390625,3611.49072265625,2670.03173828125,3336.517578125,3553.24951171875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1644.1424560546875,NaN,1263.6422119140625,1062.743408203125,NaN,453.4683532714844,1335.2679443359375,NaN
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,A0A075B6J9,LV218_HUMAN,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,2,2,2,2,2,2,1,2,3,3,43784.13671875,45604.90234375,40976.20703125,47632.56640625,45316.26953125,39755.94921875,49964.5625,19538.080078125,19072.71484375,15503.4560546875,21943.587890625,20181.27734375,20876.025390625,19034.80859375,53050.828125,50991.8125,30027.18359375,47579.3984375,36462.4140625,55315.8671875,42186.5234375,14980.6884765625,14904.75,15739.3330078125,19139.96484375,17134.35546875,18699.3125,18265.4140625,34796.6328125,25859.26953125,28816.48828125
A0A075B6K2,IGLV3-12,Immunoglobulin lambda variable 3-12,A0A075B6K2,LV312_HUMAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,8847.9306640625,8845.65234375,7525.53466796875,7416.240234375,6291.3017578125,6087.69921875,8082.29296875,10604.103515625,9219.958984375,10190.572265625,9335.095703125,9361.515625,9663.8837890625,8847.7109375,5946.7685546875,6446.39794921875,6958.96484375,6373.76123046875,6924.1064453125,6531.52294921875,7344.88623046875,1964.3594970703125,1808.8896484375,1614.7867431640625,1113.554931640625,3776.1064453125,1704.99853515625,NaN,6758.962890625,7644.29150390625,5805.4794921875
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,A0A075B6K4,LV310_HUMAN,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,8,8,9,8,9,9,9,9,9,8,8,9,9,9,9,9,418714.8125,440726.3125,376307.5,389393.4375,434172.28125,389814.59375,443073.53125,481946.3125,480407.34375,491767.71875,491605.75,478558.75,464042.75,507798.59375,230228.015625,236200.671875,240072.125,250266.828125,267768.1875,269744.5,275650.5625,257381.6875,269597.71875,282775.125,299649.375,269649.75,265394.90625,278321.5625,331313.03125,339379.75,343430.03125
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,A0A075B6K5,LV39_HUMAN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,11468.060546875,26401.98828125,17258.876953125,19247.515625,14897.1591796875,16616.794921875,16444.27734375,12857.6923828125,18404.734375,15112.4052734375,14038.849609375,10987.380859375,19055.552734375,13106.328125,13817.568359375,20652.80078125,12695.60546875,22028.78125,10991.390625,23214.107421875,26753.751953125,7790.62890625,10699.361328125,13177.2880859375,12173.15234375,8896.83203125,5277.51416015625,6988.29443359375,8846.9609375,12867.3701171875,15373.5810546875
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,A0A075B6P5;P01615,KV228_HUMAN;KVD28_HUMAN,7,7,7,7,7,7,7,6,7,6,6,7,6,6,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,181050.84375,98495.4453125,182210.59375,203864.078125,225529.921875,203102.171875,213772.40625,129507.0625,84742.5234375,125165.734375,140097.28125,141189.03125,144012.59375,148547.859375,152251.421875,159847.1875,151994.125,156933.109375,162456.984375,168221.6875,179306.03125,145004.109375,157943.46875,164103.9375,160802.015625,159153.8125,156620.578125,180678.21875,154449.265625,160037.84375,164923.859375
A0A075B6Q5,IGHV3-64,Immunoglobulin heavy variable 3-64,A0A075B6Q5,HV364_HUMAN,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20310.3984375,31963.748046875,22895.05078125,25174.216796875,21938.181640625,24263.955078125,25554.501953125,24272.18359375,23588.01171875,22556.349609375,24056.603515625,23234.04296875,25966.57421875,23081.380859375,27511.6875,24892.013671875,25328.779296875,26300.962890625,23136.0703125,29195.90234375,30317.18359375,15343.4287109375,16498.806640625,18847.03125,18625.931640625,15811.689453125,17474.9609375,16769.283203125,20897.25390625,21684.28515625,24452.505859375
