File,Protein_Accession,Protein_Name,Gene,Organism,Protein_Length,Protein_Mass_(Da),Number_Site,Number_Glycan,Number_Site_Specific_Glycan
ID112496_Pool01_MA10140C_6010_031524,A0A0B4J1X8,Immunoglobulin heavy variable 3-43,IGHV3-43,Homo sapiens,118,13068.3996,1,2,2
ID112496_Pool01_MA10140C_6010_031524,O00391,Sulfhydryl oxidase 1,QSOX1,Homo sapiens,747,82525.5018,1,1,1
ID112496_Pool01_MA10140C_6010_031524,O75636,Ficolin-3,FCN3,Homo sapiens,299,32881.9881,1,2,2
ID112496_Pool01_MA10140C_6010_031524,O75882,Attractin,ATRN,Homo sapiens,1429,158432.4551,4,3,6
ID112496_Pool01_MA10140C_6010_031524,O95445,Apolipoprotein M,APOM,Homo sapiens,188,21239.4384,1,5,5
ID112496_Pool01_MA10140C_6010_031524,P00450,Ceruloplasmin,CP,Homo sapiens,1065,122141.5986,4,34,57
ID112496_Pool01_MA10140C_6010_031524,P00734,Prothrombin,F2,Homo sapiens,622,69992.1207,3,11,18
ID112496_Pool01_MA10140C_6010_031524,P00736,Complement C1r subcomponent,C1R,Homo sapiens,705,80066.8106,1,5,5
ID112496_Pool01_MA10140C_6010_031524,P00738,Haptoglobin,HP,Homo sapiens,406,45176.5624,4,41,60
ID112496_Pool01_MA10140C_6010_031524,P00739,Haptoglobin-related protein,HPR,Homo sapiens,348,39004.6778,3,21,27
ID112496_Pool01_MA10140C_6010_031524,P00747,Plasminogen,PLG,Homo sapiens,810,90510.1529,1,4,4
ID112496_Pool01_MA10140C_6010_031524,P00748,Coagulation factor XII,F12,Homo sapiens,615,67747.8913,2,9,12
ID112496_Pool01_MA10140C_6010_031524,P00751,Complement factor B,CFB,Homo sapiens,764,85478.5204,1,2,2
ID112496_Pool01_MA10140C_6010_031524,P00760,Cationic trypsin,null,Bos taurus,246,25768.6012,2,12,16
ID112496_Pool01_MA10140C_6010_031524,P01008,Antithrombin-III,SERPINC1,Homo sapiens,464,52568.8618,2,8,10
ID112496_Pool01_MA10140C_6010_031524,P01009,Alpha-1-antitrypsin,SERPINA1,Homo sapiens,418,46707.0172,4,5,6
ID112496_Pool01_MA10140C_6010_031524,P01011,Alpha-1-antichymotrypsin,SERPINA3,Homo sapiens,423,47620.5342,3,31,42
ID112496_Pool01_MA10140C_6010_031524,P01019,Angiotensinogen,AGT,Homo sapiens,476,52036.9515,1,2,2
ID112496_Pool01_MA10140C_6010_031524,P01023,Alpha-2-macroglobulin,A2M,Homo sapiens,1474,163187.8838,2,2,3
ID112496_Pool01_MA10140C_6010_031524,P01042,Kininogen-1,KNG1,Homo sapiens,644,71912.1475,5,25,42
ID112496_Pool01_MA10140C_6010_031524,P01591,Immunoglobulin J chain,JCHAIN,Homo sapiens,159,18086.9938,1,12,12
ID112496_Pool01_MA10140C_6010_031524,P01857,Immunoglobulin heavy constant gamma 1,IGHG1,Homo sapiens,399,43884.1027,1,24,24
ID112496_Pool01_MA10140C_6010_031524,P01859,Immunoglobulin heavy constant gamma 2,IGHG2,Homo sapiens,395,43777.7715,1,16,16
ID112496_Pool01_MA10140C_6010_031524,P01861,Immunoglobulin heavy constant gamma 4,IGHG4,Homo sapiens,396,43803.8656,1,4,4
ID112496_Pool01_MA10140C_6010_031524,P01871,Immunoglobulin heavy constant mu,IGHM,Homo sapiens,474,51890.9321,2,35,51
ID112496_Pool01_MA10140C_6010_031524,P01877,Immunoglobulin heavy constant alpha 2,IGHA2,Homo sapiens,391,42306.9526,3,20,35
ID112496_Pool01_MA10140C_6010_031524,P02675,Fibrinogen beta chain,FGB,Homo sapiens,491,55892.2582,1,27,27
ID112496_Pool01_MA10140C_6010_031524,P02679,Fibrinogen gamma chain,FGG,Homo sapiens,453,51478.8645,2,11,12
ID112496_Pool01_MA10140C_6010_031524,P02745,Complement C1q subcomponent subunit A,C1QA,Homo sapiens,245,26000.1863,1,5,5
ID112496_Pool01_MA10140C_6010_031524,P02748,Complement component C9,C9,Homo sapiens,559,63132.6961,1,1,1
ID112496_Pool01_MA10140C_6010_031524,P02749,Beta-2-glycoprotein 1,APOH,Homo sapiens,345,38272.6576,2,21,28
ID112496_Pool01_MA10140C_6010_031524,P02750,Leucine-rich alpha-2-glycoprotein,LRG1,Homo sapiens,347,38154.1093,1,5,5
ID112496_Pool01_MA10140C_6010_031524,P02751,Fibronectin,FN1,Homo sapiens,2477,272149.9816,4,11,16
ID112496_Pool01_MA10140C_6010_031524,P02760,Protein AMBP,AMBP,Homo sapiens,352,38973.9795,2,7,7
ID112496_Pool01_MA10140C_6010_031524,P02763,Alpha-1-acid glycoprotein 1,ORM1,Homo sapiens,201,23524.8008,5,72,126
ID112496_Pool01_MA10140C_6010_031524,P02765,Alpha-2-HS-glycoprotein,AHSG,Homo sapiens,367,39315.6856,2,31,40
ID112496_Pool01_MA10140C_6010_031524,P02774,Vitamin D-binding protein,GC,Homo sapiens,474,52882.9377,1,1,1
ID112496_Pool01_MA10140C_6010_031524,P02787,Serotransferrin,TF,Homo sapiens,698,76999.6107,4,37,56
ID112496_Pool01_MA10140C_6010_031524,P02788,Lactotransferrin,LTF,Homo sapiens,710,78131.9096,1,2,2
ID112496_Pool01_MA10140C_6010_031524,P02790,Hemopexin,HPX,Homo sapiens,462,51643.2706,3,33,48
ID112496_Pool01_MA10140C_6010_031524,P03952,Plasma kallikrein,KLKB1,Homo sapiens,638,71295.8286,2,5,5
ID112496_Pool01_MA10140C_6010_031524,P04003,C4b-binding protein alpha chain,C4BPA,Homo sapiens,597,66989.394,3,4,4
ID112496_Pool01_MA10140C_6010_031524,P04004,Vitronectin,VTN,Homo sapiens,478,54271.1652,3,27,33
ID112496_Pool01_MA10140C_6010_031524,P04114,Apolipoprotein B-100,APOB,Homo sapiens,4563,515222.8323,7,10,17
ID112496_Pool01_MA10140C_6010_031524,P04180,Phosphatidylcholine-sterol acyltransferase,LCAT,Homo sapiens,440,49546.0861,2,5,5
ID112496_Pool01_MA10140C_6010_031524,P04196,Histidine-rich glycoprotein,HRG,Homo sapiens,525,59540.8649,4,14,29
ID112496_Pool01_MA10140C_6010_031524,P04217,Alpha-1B-glycoprotein,A1BG,Homo sapiens,495,54219.5369,1,4,4
ID112496_Pool01_MA10140C_6010_031524,P04278,Sex hormone-binding globulin,SHBG,Homo sapiens,402,43751.8134,2,3,4
ID112496_Pool01_MA10140C_6010_031524,P05090,Apolipoprotein D,APOD,Homo sapiens,189,21261.7619,3,43,53
ID112496_Pool01_MA10140C_6010_031524,P05155,Plasma protease C1 inhibitor,SERPING1,Homo sapiens,500,55119.3913,8,54,138
ID112496_Pool01_MA10140C_6010_031524,P05156,Complement factor I,CFI,Homo sapiens,583,65706.6048,4,7,10
ID112496_Pool01_MA10140C_6010_031524,P05160,Coagulation factor XIII B chain,F13B,Homo sapiens,661,75461.1628,2,6,7
ID112496_Pool01_MA10140C_6010_031524,P05543,Thyroxine-binding globulin,SERPINA7,Homo sapiens,415,46294.6053,1,5,5
ID112496_Pool01_MA10140C_6010_031524,P05546,Heparin cofactor 2,SERPIND1,Homo sapiens,499,57034.2012,2,10,11
ID112496_Pool01_MA10140C_6010_031524,P06276,Cholinesterase,BCHE,Homo sapiens,602,68374.267,1,2,2
ID112496_Pool01_MA10140C_6010_031524,P07357,Complement component C8 alpha chain,C8A,Homo sapiens,584,65121.0325,1,2,2
ID112496_Pool01_MA10140C_6010_031524,P07996,Thrombospondin-1,THBS1,Homo sapiens,1170,129299.5492,3,4,4
ID112496_Pool01_MA10140C_6010_031524,P08185,Corticosteroid-binding globulin,SERPINA6,Homo sapiens,405,45111.9052,3,13,19
ID112496_Pool01_MA10140C_6010_031524,P08571,Monocyte differentiation antigen CD14,CD14,Homo sapiens,375,40050.7432,1,1,1
ID112496_Pool01_MA10140C_6010_031524,P08603,Complement factor H,CFH,Homo sapiens,1231,139004.6917,9,19,47
ID112496_Pool01_MA10140C_6010_031524,P09871,Complement C1s subcomponent,C1S,Homo sapiens,688,76634.7981,1,5,5
ID112496_Pool01_MA10140C_6010_031524,P0C0L4,Complement C4-A,C4A,Homo sapiens,1744,192664.4617,3,19,21
ID112496_Pool01_MA10140C_6010_031524,P0C0L5,Complement C4-B,C4B,Homo sapiens,1744,192630.5329,3,19,21
ID112496_Pool01_MA10140C_6010_031524,P0DP01,Immunoglobulin heavy variable 1-8,IGHV1-8,Homo sapiens,117,12983.286,1,1,1
ID112496_Pool01_MA10140C_6010_031524,P0DP04,Immunoglobulin heavy variable 3-43D,IGHV3-43D,Homo sapiens,118,13008.3785,1,2,2
ID112496_Pool01_MA10140C_6010_031524,P10909,Clusterin,CLU,Homo sapiens,449,52461.0034,5,24,35
ID112496_Pool01_MA10140C_6010_031524,P11166,"Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,Homo sapiens,492,54048.5332,1,19,19
ID112496_Pool01_MA10140C_6010_031524,P12259,Coagulation factor V,F5,Homo sapiens,2224,251545.5044,1,3,3
ID112496_Pool01_MA10140C_6010_031524,P13473,Lysosome-associated membrane glycoprotein 2,LAMP2,Homo sapiens,410,44932.2988,1,1,1
ID112496_Pool01_MA10140C_6010_031524,P13671,Complement component C6,C6,Homo sapiens,934,104717.9999,2,1,2
ID112496_Pool01_MA10140C_6010_031524,P13987,CD59 glycoprotein,CD59,Homo sapiens,128,14167.7923,1,3,3
ID112496_Pool01_MA10140C_6010_031524,P17936,Insulin-like growth factor-binding protein 3,IGFBP3,Homo sapiens,291,31653.7412,1,2,2
ID112496_Pool01_MA10140C_6010_031524,P19652,Alpha-1-acid glycoprotein 2,ORM2,Homo sapiens,201,23587.6306,5,59,92
ID112496_Pool01_MA10140C_6010_031524,P19823,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2,Homo sapiens,946,106396.6043,1,1,1
ID112496_Pool01_MA10140C_6010_031524,P19827,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1,Homo sapiens,911,101325.6101,1,2,2
ID112496_Pool01_MA10140C_6010_031524,P20851,C4b-binding protein beta chain,C4BPB,Homo sapiens,252,28338.4415,3,3,5
ID112496_Pool01_MA10140C_6010_031524,P22792,Carboxypeptidase N subunit 2,CPN2,Homo sapiens,545,60518.1265,1,4,4
ID112496_Pool01_MA10140C_6010_031524,P23142,Fibulin-1,FBLN1,Homo sapiens,703,77162.3479,1,1,1
ID112496_Pool01_MA10140C_6010_031524,P25311,Zinc-alpha-2-glycoprotein,AZGP1,Homo sapiens,298,34237.1031,3,15,23
ID112496_Pool01_MA10140C_6010_031524,P26927,Hepatocyte growth factor-like protein,MST1,Homo sapiens,711,80267.5216,2,2,2
ID112496_Pool01_MA10140C_6010_031524,P27169,Serum paraoxonase/arylesterase 1,PON1,Homo sapiens,355,39706.2263,2,8,9
ID112496_Pool01_MA10140C_6010_031524,P29622,Kallistatin,SERPINA4,Homo sapiens,427,48511.1559,1,3,3
ID112496_Pool01_MA10140C_6010_031524,P36980,Complement factor H-related protein 2,CFHR2,Homo sapiens,270,30630.6326,1,4,4
ID112496_Pool01_MA10140C_6010_031524,P41222,Prostaglandin-H2 D-isomerase,PTGDS,Homo sapiens,190,21015.3386,1,1,1
ID112496_Pool01_MA10140C_6010_031524,P43251,Biotinidase,BTD,Homo sapiens,543,61093.2556,2,6,7
ID112496_Pool01_MA10140C_6010_031524,P43652,Afamin,AFM,Homo sapiens,599,69024.0102,2,10,15
ID112496_Pool01_MA10140C_6010_031524,P48740,Mannan-binding lectin serine protease 1,MASP1,Homo sapiens,699,79195.1937,2,2,4
ID112496_Pool01_MA10140C_6010_031524,P49747,Cartilage oligomeric matrix protein,COMP,Homo sapiens,757,82807.6125,1,2,2
ID112496_Pool01_MA10140C_6010_031524,P49908,Selenoprotein P,SELENOP,Homo sapiens,381,43096.3912,3,5,7
ID112496_Pool01_MA10140C_6010_031524,P51884,Lumican,LUM,Homo sapiens,338,38404.7928,2,12,13
ID112496_Pool01_MA10140C_6010_031524,P80108,Phosphatidylinositol-glycan-specific phospholipase D,GPLD1,Homo sapiens,840,92277.9566,1,2,2
ID112496_Pool01_MA10140C_6010_031524,Q03591,Complement factor H-related protein 1,CFHR1,Homo sapiens,330,37625.9619,3,8,11
ID112496_Pool01_MA10140C_6010_031524,Q04756,Hepatocyte growth factor activator,HGFAC,Homo sapiens,655,70636.082,1,1,1
ID112496_Pool01_MA10140C_6010_031524,Q08380,Galectin-3-binding protein,LGALS3BP,Homo sapiens,585,65289.2827,3,4,5
ID112496_Pool01_MA10140C_6010_031524,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4,ITIH4,Homo sapiens,930,103292.98,2,18,18
ID112496_Pool01_MA10140C_6010_031524,Q2TV78,Putative macrophage stimulating 1-like protein,MST1L,Homo sapiens,715,79642.2316,1,1,1
ID112496_Pool01_MA10140C_6010_031524,Q92820,Gamma-glutamyl hydrolase,GGH,Homo sapiens,318,35941.1653,1,1,1
ID112496_Pool01_MA10140C_6010_031524,Q96KN2,Beta-Ala-His dipeptidase,CNDP1,Homo sapiens,507,56656.1039,1,2,2
ID112496_Pool01_MA10140C_6010_031524,Q96PD5,N-acetylmuramoyl-L-alanine amidase,PGLYRP2,Homo sapiens,576,62177.8802,1,1,1
ID112496_Pool01_MA10140C_6010_031524,Q9BXR6,Complement factor H-related protein 5,CFHR5,Homo sapiens,569,64377.0582,1,1,1
ID112496_Pool01_MA10140C_6010_031524,Q9HDC9,Adipocyte plasma membrane-associated protein,APMAP,Homo sapiens,416,46450.848,1,1,1
ID112496_Pool01_MA10140C_6010_031524,Q9UGM5,Fetuin-B,FETUB,Homo sapiens,382,42027.9612,1,2,2
ID112496_Pool02_MA10140C_6010_031524,A0A0B4J1X8,Immunoglobulin heavy variable 3-43,IGHV3-43,Homo sapiens,118,13068.3996,1,2,2
ID112496_Pool02_MA10140C_6010_031524,O00391,Sulfhydryl oxidase 1,QSOX1,Homo sapiens,747,82525.5018,1,1,1
ID112496_Pool02_MA10140C_6010_031524,O75636,Ficolin-3,FCN3,Homo sapiens,299,32881.9881,1,3,3
ID112496_Pool02_MA10140C_6010_031524,O75882,Attractin,ATRN,Homo sapiens,1429,158432.4551,1,2,2
ID112496_Pool02_MA10140C_6010_031524,O95445,Apolipoprotein M,APOM,Homo sapiens,188,21239.4384,1,4,4
ID112496_Pool02_MA10140C_6010_031524,P00450,Ceruloplasmin,CP,Homo sapiens,1065,122141.5986,4,35,56
ID112496_Pool02_MA10140C_6010_031524,P00734,Prothrombin,F2,Homo sapiens,622,69992.1207,3,11,19
ID112496_Pool02_MA10140C_6010_031524,P00738,Haptoglobin,HP,Homo sapiens,406,45176.5624,2,36,47
ID112496_Pool02_MA10140C_6010_031524,P00739,Haptoglobin-related protein,HPR,Homo sapiens,348,39004.6778,1,17,17
ID112496_Pool02_MA10140C_6010_031524,P00747,Plasminogen,PLG,Homo sapiens,810,90510.1529,1,6,6
ID112496_Pool02_MA10140C_6010_031524,P00748,Coagulation factor XII,F12,Homo sapiens,615,67747.8913,2,7,9
ID112496_Pool02_MA10140C_6010_031524,P00751,Complement factor B,CFB,Homo sapiens,764,85478.5204,1,3,3
ID112496_Pool02_MA10140C_6010_031524,P00760,Cationic trypsin,null,Bos taurus,246,25768.6012,2,10,11
ID112496_Pool02_MA10140C_6010_031524,P01008,Antithrombin-III,SERPINC1,Homo sapiens,464,52568.8618,2,4,6
ID112496_Pool02_MA10140C_6010_031524,P01009,Alpha-1-antitrypsin,SERPINA1,Homo sapiens,418,46707.0172,3,4,4
ID112496_Pool02_MA10140C_6010_031524,P01011,Alpha-1-antichymotrypsin,SERPINA3,Homo sapiens,423,47620.5342,4,29,41
ID112496_Pool02_MA10140C_6010_031524,P01019,Angiotensinogen,AGT,Homo sapiens,476,52036.9515,1,3,3
ID112496_Pool02_MA10140C_6010_031524,P01023,Alpha-2-macroglobulin,A2M,Homo sapiens,1474,163187.8838,2,3,3
ID112496_Pool02_MA10140C_6010_031524,P01042,Kininogen-1,KNG1,Homo sapiens,644,71912.1475,5,23,48
ID112496_Pool02_MA10140C_6010_031524,P01591,Immunoglobulin J chain,JCHAIN,Homo sapiens,159,18086.9938,1,13,13
ID112496_Pool02_MA10140C_6010_031524,P01857,Immunoglobulin heavy constant gamma 1,IGHG1,Homo sapiens,399,43884.1027,1,22,22
ID112496_Pool02_MA10140C_6010_031524,P01859,Immunoglobulin heavy constant gamma 2,IGHG2,Homo sapiens,395,43777.7715,1,14,14
ID112496_Pool02_MA10140C_6010_031524,P01861,Immunoglobulin heavy constant gamma 4,IGHG4,Homo sapiens,396,43803.8656,1,6,6
ID112496_Pool02_MA10140C_6010_031524,P01871,Immunoglobulin heavy constant mu,IGHM,Homo sapiens,474,51890.9321,2,35,51
ID112496_Pool02_MA10140C_6010_031524,P01876,Immunoglobulin heavy constant alpha 1,IGHA1,Homo sapiens,398,42821.3175,1,1,1
ID112496_Pool02_MA10140C_6010_031524,P01877,Immunoglobulin heavy constant alpha 2,IGHA2,Homo sapiens,391,42306.9526,4,22,32
ID112496_Pool02_MA10140C_6010_031524,P02675,Fibrinogen beta chain,FGB,Homo sapiens,491,55892.2582,1,31,31
ID112496_Pool02_MA10140C_6010_031524,P02679,Fibrinogen gamma chain,FGG,Homo sapiens,453,51478.8645,2,16,18
ID112496_Pool02_MA10140C_6010_031524,P02745,Complement C1q subcomponent subunit A,C1QA,Homo sapiens,245,26000.1863,1,5,5
ID112496_Pool02_MA10140C_6010_031524,P02749,Beta-2-glycoprotein 1,APOH,Homo sapiens,345,38272.6576,2,18,24
ID112496_Pool02_MA10140C_6010_031524,P02750,Leucine-rich alpha-2-glycoprotein,LRG1,Homo sapiens,347,38154.1093,1,5,5
ID112496_Pool02_MA10140C_6010_031524,P02751,Fibronectin,FN1,Homo sapiens,2477,272149.9816,4,11,16
ID112496_Pool02_MA10140C_6010_031524,P02760,Protein AMBP,AMBP,Homo sapiens,352,38973.9795,1,4,4
ID112496_Pool02_MA10140C_6010_031524,P02763,Alpha-1-acid glycoprotein 1,ORM1,Homo sapiens,201,23524.8008,5,67,119
ID112496_Pool02_MA10140C_6010_031524,P02765,Alpha-2-HS-glycoprotein,AHSG,Homo sapiens,367,39315.6856,2,28,39
ID112496_Pool02_MA10140C_6010_031524,P02774,Vitamin D-binding protein,GC,Homo sapiens,474,52882.9377,1,1,1
ID112496_Pool02_MA10140C_6010_031524,P02787,Serotransferrin,TF,Homo sapiens,698,76999.6107,4,28,45
ID112496_Pool02_MA10140C_6010_031524,P02788,Lactotransferrin,LTF,Homo sapiens,710,78131.9096,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P02790,Hemopexin,HPX,Homo sapiens,462,51643.2706,2,32,44
ID112496_Pool02_MA10140C_6010_031524,P03951,Coagulation factor XI,F11,Homo sapiens,625,70063.555,1,2,2
ID112496_Pool02_MA10140C_6010_031524,P03952,Plasma kallikrein,KLKB1,Homo sapiens,638,71295.8286,2,6,6
ID112496_Pool02_MA10140C_6010_031524,P04003,C4b-binding protein alpha chain,C4BPA,Homo sapiens,597,66989.394,3,3,4
ID112496_Pool02_MA10140C_6010_031524,P04004,Vitronectin,VTN,Homo sapiens,478,54271.1652,3,31,40
ID112496_Pool02_MA10140C_6010_031524,P04114,Apolipoprotein B-100,APOB,Homo sapiens,4563,515222.8323,6,9,15
ID112496_Pool02_MA10140C_6010_031524,P04180,Phosphatidylcholine-sterol acyltransferase,LCAT,Homo sapiens,440,49546.0861,2,3,4
ID112496_Pool02_MA10140C_6010_031524,P04196,Histidine-rich glycoprotein,HRG,Homo sapiens,525,59540.8649,4,16,34
ID112496_Pool02_MA10140C_6010_031524,P04217,Alpha-1B-glycoprotein,A1BG,Homo sapiens,495,54219.5369,1,5,5
